element_name,element
treaty,treaty
true,true
two,two
unenlightened,unenlightened
unforeseen,unforeseen
unite,unite
universal,universal
unprincipled,unprincipled
unsubscribed,unsubscribed
unsuccessful,unsuccessful
urged,urged
urgency,urgency
used,used
utility,utility
vacant,vacant
vain,vain
variation,variation
varied,varied
vested,vested
view,view
viewed,viewed
violate,violate
violating,violating
virtuous,virtuous
vulnerable,vulnerable
wanting,wanting
washington,washington
wavering,wavering
weal,weal
whole,whole
whose,whose
wise,wise
wish,wish
wretch,wretch
year,year
yet,yet
yield,yield
zealous,zealous
abatement,abatement
addition,addition
adoption,adoption
agent,agent
aggression,aggression
aided,aided
alleged,alleged
allowance,allowance
alluded,alluded
alternative,alternative
amsterdam,amsterdam
announcing,announcing
annual,annual
anticipation,anticipation
antwerp,antwerp
anything,anything
appearance,appearance
appears,appears
application,application
arises,arises
arrest,arrest
ascertain,ascertain
assert,assert
attachment,attachment
attainable,attainable
attempt,attempt
authorized,authorized
bail,bail
bandit,bandit
beginning,beginning
believe,believe
besides,besides
blood,blood
breach,breach
bring,bring
bringing,bringing
calling,calling
careful,careful
case,case
cementing,cementing
channel,channel
chickamauga,chickamauga
circulation,circulation
coin,coin
coinage,coinage
collection,collection
combination,combination
combined,combined
commission,commission
committing,committing
commonly,commonly
communicate,communicate
complaint,complaint
concern,concern
conciliating,conciliating
connected,connected
consequence,consequence
considered,considered
consolation,consolation
consulted,consulted
contentment,contentment
contest,contest
continuance,continuance
continuation,continuation
continue,continue
contribute,contribute
conviction,conviction
correspondency,correspondency
count,count
court,court
cultivation,cultivation
deceased,deceased
defensive,defensive
definition,definition
delay,delay
depend,depend
desire,desire
despaired,despaired
detail,detail
devised,devised
dictated,dictated
dime,dime
discipline,discipline
dismiss,dismiss
distressed,distressed
disturb,disturb
doubt,doubt
durable,durable
earnest,earnest
effected,effected
effecting,effecting
efficacy,efficacy
effusion,effusion
eleventh,eleventh
eligible,eligible
embarrass,embarrass
emissary,emissary
employment,employment
energy,energy
engaging,engaging
enjoined,enjoined
enter,enter
establishes,establishes
even,even
event,event
evince,evince
experienced,experienced
expiration,expiration
expire,expire
extension,extension
extortion,extortion
extraordinaries,extraordinaries
eye,eye
facilitate,facilitate
fact,fact
failure,failure
fallen,fallen
family,family
favorable,favorable
felicitating,felicitating
finance,finance
find,find
five,five
forward,forward
friendly,friendly
fulfilling,fulfilling
furnishing,furnishing
generally,generally
half,half
happened,happened
harmony,harmony
holston,holston
hostility,hostility
immature,immature
impediment,impediment
incomplete,incomplete
inconvenience,inconvenience
incorporated,incorporated
indeed,indeed
inestimable,inestimable
influence,influence
informed,informed
infraction,infraction
infractors,infractors
inhabiting,inhabiting
inquiry,inquiry
inspire,inspire
insufficient,insufficient
intelligence,intelligence
interior,interior
interposition,interposition
intimated,intimated
intrinsic,intrinsic
issued,issued
judge,judge
judged,judged
judiciary,judiciary
july,july
kind,kind
large,large
late,late
lead,lead
learn,learn
led,led
legal,legal
lessened,lessened
lessening,lessening
liberality,liberality
lieu,lieu
likely,likely
local,local
looking,looking
maintain,maintain
maintenance,maintenance
manifested,manifested
massacre,massacre
matured,matured
might,might
money,money
name,name
neighborhood,neighborhood
neighboring,neighboring
news,news
northwestern,northwestern
notice,notice
nugatory,nugatory
obedience,obedience
obstruct,obstruct
offender,offender
offense,offense
ohio,ohio
operate,operate
outrage,outrage
outrageous,outrageous
pain,pain
particularized,particularized
past,past
payment,payment
performed,performed
perpetrated,perpetrated
persevering,persevering
political,political
powerful,powerful
practice,practice
precaution,precaution
precise,precise
preferable,preferable
presented,presented
presume,presume
presumed,presumed
pretext,pretext
prevalent,prevalent
prevented,prevented
preventing,preventing
proceeds,proceeds
process,process
procure,procure
product,product
productive,productive
promised,promised
promoting,promoting
prosecution,prosecution
protect,protect
prove,prove
purpose,purpose
pursued,pursued
pursuing,pursuing
put,put
putting,putting
qualified,qualified
quarter,quarter
question,question
raised,raised
recalling,recalling
recently,recently
recommending,recommending
recruited,recruited
recruiting,recruiting
redemption,redemption
regular,regular
regulates,regulates
reimbursement,reimbursement
reiterated,reiterated
relates,relates
relax,relax
remedy,remedy
renewed,renewed
repetition,repetition
representation,representation
represented,represented
reserved,reserved
reside,reside
respected,respected
restraining,restraining
resumed,resumed
revived,revived
reward,reward
savage,savage
saving,saving
scale,scale
scruple,scruple
section,section
securing,securing
settlement,settlement
severally,severally
share,share
sometimes,sometimes
south,south
special,special
stimulus,stimulus
stipulation,stipulation
stop,stop
strengthen,strengthen
strenuous,strenuous
strictly,strictly
structure,structure
suffrage,suffrage
suggested,suggested
supplementary,supplementary
supposition,supposition
supreme,supreme
symptom,symptom
take,take
taking,taking
temporary,temporary
tendency,tendency
tennessee,tennessee
terminated,terminated
termination,termination
territory,territory
thereof,thereof
thereto,thereto
thing,thing
though,though
threatening,threatening
three,three
throughout,throughout
thus,thus
trade,trade
tranquillity,tranquillity
transmission,transmission
trusty,trusty
ultimate,ultimate
understood,understood
unequivocally,unequivocally
unlawful,unlawful
unnecessary,unnecessary
unprovoked,unprovoked
vicinity,vicinity
victim,victim
village,village
want,want
wanton,wanton
warning,warning
whatsoever,whatsoever
zeal,zeal
abounds,abounds
absolutely,absolutely
abuse,abuse
accord,accord
account,account
accumulation,accumulation
active,active
adjust,adjust
adjusted,adjusted
administered,administered
admission,admission
admonish,admonish
adopt,adopt
affectionate,affectionate
affirmed,affirmed
allured,allured
alone,alone
although,although
amicable,amicable
amount,amount
anxiety,anxiety
appeal,appeal
apprehend,apprehend
approbation,approbation
arm,arm
array,array
art,art
attained,attained
auxiliary,auxiliary
avoid,avoid
awakened,awakened
balance,balance
become,become
behalf,behalf
belief,belief
belligerent,belligerent
book,book
brought,brought
called,called
candor,candor
capture,capture
censure,censure
choicest,choicest
clothing,clothing
code,code
color,color
commanded,commanded
commencement,commencement
commensurate,commensurate
commissioned,commissioned
commissioner,commissioner
committed,committed
commodity,commodity
communicated,communicated
compensated,compensated
complete,complete
conduce,conduce
conform,conform
consists,consists
constant,constant
contemplate,contemplate
contraband,contraband
contrary,contrary
contribution,contribution
coolness,coolness
corn,corn
correct,correct
creating,creating
creek,creek
critical,critical
crown,crown
danger,danger
deep,deep
deficiency,deficiency
delicate,delicate
delivered,delivered
demonstrated,demonstrated
denied,denied
dependent,dependent
depository,depository
detected,detected
determine,determine
diffused,diffused
dignity,dignity
disclose,disclose
dissension,dissension
distance,distance
document,document
done,done
