,row_B6_data
ANXA4,-3.2686144071324147e-06
H3F3B,-3.2931197476602237e-06
RAC1,-3.314822515902941e-06
INTS4,-3.3333487480669615e-06
SLC4A11,-3.33676370626744e-06
RBPJ,-3.360566340547396e-06
EIF3F,-3.3755024247888194e-06
RGS16,-3.3887718759479122e-06
MAPKAPK3,-3.4681295020109347e-06
PROCR,-3.5366028109745355e-06
GPR15,-3.613473108886086e-06
KCTD14,-3.6207658650058342e-06
IFI47,-3.654499010634913e-06
TES,-3.6560486854825256e-06
RPLP0,-3.6758787439852326e-06
CTLA4,-3.678676193104288e-06
SP110,-3.7228710299201584e-06
NINJ1,-3.729060375851868e-06
RPL23A,-3.7415687778694925e-06
ARL6IP1,-3.830136106993401e-06
MAF,-3.88256475609971e-06
TNFSF4,-3.911957561540582e-06
CD83,-4.029857502190543e-06
CD69,-4.062466243953682e-06
B4GALT1,-4.130845503871624e-06
RNF187,-4.233818053370359e-06
TSPAN13,-4.2393973221441166e-06
RPL18A,-4.242295983045627e-06
PHLDA3,-4.242323237752334e-06
TNF,-4.246192271300243e-06
PENK,-4.290853611176999e-06
IL10,-4.328849320137129e-06
UBE2C,-4.331629102428276e-06
TNIP2,-4.3377059694945325e-06
CKB,-4.374011917979515e-06
HMGN2,-4.393744975665517e-06
ANXA2,-4.556097163272184e-06
ACSBG1,-4.5566949350710185e-06
TMEM176B,-4.637750679927765e-06
NRN1,-4.7033520946975535e-06
TNFRSF18,-4.745158304182144e-06
SH3BGRL3,-4.789581740297919e-06
CD81,-4.7928251017629255e-06
MAP2K3,-4.962799872464596e-06
APOL9B,-5.198604318323698e-06
BHLHE40,-5.276628134931103e-06
SMIM3,-5.283395645468524e-06
NR4A1,-5.401672218521205e-06
TNFRSF9,-5.447298301554636e-06
EMP1,-5.774585627499063e-06
RPS27,-5.804964373071106e-06
CISH,-5.84627349307539e-06
RPSA,-5.9350707491732875e-06
TPT1,-6.084011223458094e-06
ITM2B,-6.151040376827799e-06
MS4A4B,-6.1859419357450626e-06
DUSP2,-6.235959709435302e-06
APLP2,-6.454325223587227e-06
AA467197,-6.466964959761639e-06
RGCC,-6.840625044090754e-06
CCR7,-6.896329453416713e-06
TMEM254B,-7.419919385402121e-06
LGALS1,-7.873959843424384e-06
SRGN,-8.034476793630142e-06
TUBB6,-8.107202642916931e-06
NT5E,-8.139003547113732e-06
GRCC10,-8.227946322887864e-06
CYP11A1,-8.440819279443604e-06
TNFRSF4,-8.467569725787257e-06
GM20594,-8.688679633016662e-06
CRIP1,-8.97602165475691e-06
PLP2,-9.526223777081463e-06
B2M,-9.875282301990997e-06
PSEN2,-1.0101690751752743e-05
MYL12B,-1.0233802174099839e-05
RPS4X,-1.0342111742131922e-05
TIMP1,-1.1006835632106543e-05
CCL20,-1.1009766163278893e-05
RPS29,-1.1522543914367433e-05
SERPINB1A,-1.1545634433587897e-05
RPL39,-1.1758461066011195e-05
SERPINE2,-1.2029580959797003e-05
RGS1,-1.2082473679222952e-05
FTH1,-1.2120113133321883e-05
CNDP2,-1.270840693292421e-05
SGK1,-1.2781081203201129e-05
UBB,-1.2834080495744842e-05
H2-D1,-1.3143082349974637e-05
FOXP3,-1.3292868580877059e-05
PDPN,-1.3301790107081415e-05
CDKN1A,-1.417554376023383e-05
IRF8,-1.4355660843149065e-05
OLFM2,-1.4948304162081072e-05
TNFRSF13B,-1.4952675608535701e-05
H2-K1,-1.498703908413e-05
CTLA2B,-1.6932801042763666e-05
TMSB4X,-1.7580091806757052e-05
ASS1,-1.8760101557935235e-05
EEF1A1,-1.8768615254789723e-05
RPL41,-1.914351468362607e-05
IGFBP4,-2.4903614474536536e-05
RPS2,-2.6939515740274944e-05
CTSW,-2.9336817555704144e-05
CTLA2A,-3.880946672480945e-05
IL2,-4.505266178619552e-05
CAPG,-4.889312573806904e-05
VIM,-5.616083085514058e-05
AQP3,-7.52906596857515e-05
LTA,-7.790519316737736e-05
IL17F,-9.513665521960503e-05
IL9,-0.00024252476279501203
