,row_F1_data
PKM,-1.8955174496573763e-05
SLFN2,-1.8975601652773406e-05
DNAJC15,-1.996289559579569e-05
ENO1,-2.02689891457175e-05
LSM4,-2.0341189090900097e-05
BAX,-2.139316985614658e-05
SHISA5,-2.1520449595877072e-05
IFITM2,-2.1645093223168683e-05
GPR171,-2.2686955487954375e-05
SERPINE2,-2.281757737922031e-05
BTLA,-2.2934716842413975e-05
CD40LG,-2.4100203443890494e-05
TIGIT,-2.5593175456730098e-05
GBP2,-2.5832150172406593e-05
PTPRCAP,-2.5894598069543386e-05
RILPL2,-2.6627615664712253e-05
CST7,-2.7690599921456683e-05
CD69,-2.8149134187267584e-05
BATF,-2.9108077506942453e-05
MS4A6B,-3.062988412519286e-05
S100A6,-3.57324079814269e-05
LY6A,-3.697636794585246e-05
LUM,-3.7717620597392376e-05
CDKN1A,-4.0204281908481635e-05
TNFRSF18,-4.0665636159620964e-05
DDT,-4.656856492381334e-05
SRM,-5.6756285419360154e-05
NFKBIA,-6.0804880578394717e-05
DUSP2,-6.282691951253591e-05
IL22,-6.301347841044886e-05
CD53,-6.481166933037898e-05
CD200,-7.278877709360058e-05
TNFRSF4,-8.991524284193006e-05
MIF,-0.0001171521273675388
ID3,-0.00014709739182063036
RPS2,-0.0002650449001559699
IL2,-0.0007787467145014596
