,row_D5_data
BCL2A1D,6.3604711000407255e-06
BSG,6.212141047814637e-06
GATM,-6.1681528853604445e-06
FDPS,-6.20152349148622e-06
APOL9B,-6.219644800196826e-06
CRIP1,-6.282319985076554e-06
TUBA4A,-6.302106084723256e-06
RPL14,-6.33984737753165e-06
RAN,-6.497660571365242e-06
RPL10,-6.695641359082951e-06
MAT2A,-7.0701725168599e-06
EGLN3,-7.094418247176559e-06
RPL38,-7.269571082752689e-06
RPS13,-7.430169793534486e-06
CCT5,-7.451010037183087e-06
H2AFZ,-7.4772443675238796e-06
CCNB2,-7.503176962936816e-06
RPS15,-7.5359215043480765e-06
CCNA2,-7.6185488429440275e-06
FAU,-7.620989202022864e-06
LPXN,-7.92076003252234e-06
TUBB5,-8.000424922227875e-06
ALDOA,-8.040695002665401e-06
LY6A,-8.118824130332004e-06
ME2,-8.183342938936979e-06
NT5E,-8.500501986631574e-06
NPM1,-8.51346887143978e-06
PLP2,-8.538632750344245e-06
RPL11,-8.543960013178696e-06
CFL1,-8.738761462688093e-06
UCP2,-8.748485169783904e-06
RPL17,-8.854228729674883e-06
CNDP2,-8.880897422044574e-06
BIRC5,-9.195959610122812e-06
DDX39,-9.238975458906312e-06
PLK1,-9.464697037189933e-06
SHMT2,-9.479321560904486e-06
LDHA,-9.617920815668628e-06
TUBB4B,-9.685458351484452e-06
RPL34,-9.7734847068852e-06
HMGB1,-9.801460599985815e-06
RPL30,-9.824462246390544e-06
RPS21,-9.846344684393929e-06
RPS7,-9.971356559659161e-06
HMGB2,-1.015246515345828e-05
ASS1,-1.069089754380398e-05
RPL36AL,-1.0954225416246911e-05
SOCS2,-1.1575183032895125e-05
SERPINB1A,-1.1711110914332244e-05
RPL27,-1.1827925409772853e-05
RPS16,-1.1841781437486182e-05
CDC20,-1.196154744382852e-05
PTMA,-1.2714513647300461e-05
HIST1H2AO,-1.2863312183006878e-05
PHGDH,-1.3295198795911577e-05
PDPN,-1.3301790107081415e-05
CCL20,-1.3332381963392705e-05
RPL18,-1.3563470749808836e-05
RPL18A,-1.3578634735295097e-05
SLC25A5,-1.3859432354469979e-05
CCNB1,-1.4108434111522487e-05
UBA52,-1.4275959192554168e-05
FOXP3,-1.4380167115611396e-05
CTLA2B,-1.4876878223237415e-05
OLFM2,-1.5595966813508737e-05
IL2RB,-1.5903368698229296e-05
HSP90AB1,-1.6373654995612517e-05
IL17A,-1.6640579172784327e-05
RPL8,-1.6719683995128793e-05
SGK1,-1.7249000961780145e-05
RPL10A,-1.787426215906274e-05
CORO1A,-1.7941400350908712e-05
UBE2C,-1.79659431334224e-05
TGM2,-1.837035135274003e-05
RPS23,-1.8677728080140297e-05
NACA,-1.9093100183721306e-05
PARK2,-1.956473997823543e-05
RPL6,-1.9825867815470696e-05
IMPDH2,-2.0079455704149677e-05
CAPG,-2.1062270954840442e-05
RPL35A,-2.2224343479086125e-05
CHPT1,-2.2503968853701752e-05
IFI47,-2.254884184356063e-05
KPNA2,-2.2834669704239905e-05
RPL3,-2.2923870547771996e-05
MT1,-2.3956431983977163e-05
RPS14,-2.403058695792836e-05
IRF8,-2.4472519100988972e-05
CHURC1,-2.490346979087828e-05
TNFRSF13B,-2.4975399440307572e-05
TUBA1B,-2.696022759730057e-05
LGALS1,-2.699326858594472e-05
RPS18,-2.7618638875781954e-05
VIM,-2.8086447752256003e-05
CTSW,-2.9020656995620603e-05
LTB,-2.907516193765987e-05
RPL22L1,-4.312988739464053e-05
CTLA2A,-4.4682515593712646e-05
IGFBP4,-5.092020350569303e-05
RPS11,-5.859775976539488e-05
HSPA8,-7.365408948406202e-05
AQP3,-7.643305435067193e-05
LTA,-0.0001437921233637879
TIMP1,-0.00014415513326813498
EEF1A1,-0.00022807730921405988
IL9,-0.00031534458839269476
IL17F,-0.0007238663843500241
