,row_F6_data
CYP11A1,1.086252537575468e-05
RPS11,1.0786649661166133e-05
TES,1.0752268010529644e-05
TMEM176B,1.0678989321766726e-05
IKZF3,1.0490306867159936e-05
NACA,1.0395733265308618e-05
IRF4,1.0236498441765802e-05
CORO1A,9.660113271346037e-06
RAP1B,9.380362813883627e-06
SLC39A8,9.253950016682251e-06
TUBB4B,9.168994647317611e-06
TSPAN13,9.092658746813019e-06
MAF,9.052963734220429e-06
PROCR,8.930128098145809e-06
AA467197,8.895352266293203e-06
1600014C10RIK,8.617751899859326e-06
PRDX6,8.59734023714356e-06
ATP5H,8.26464900450361e-06
CD5L,8.20239732932276e-06
MAP2K3,8.1950813775643e-06
RBPJ,8.128120848829967e-06
GPR15,8.100525348997639e-06
CPD,7.878130697137849e-06
SMIM3,7.866465457177439e-06
RPL30,7.812291401773831e-06
CTSC,7.78082160615987e-06
IL4RA,7.738605363512959e-06
CAPZA2,7.665568645415249e-06
SATB1,-7.85112483282384e-06
NPM1,-7.939778758386709e-06
MED30,-7.99389901897905e-06
HNRNPA1,-8.12386079838124e-06
ITK,-8.130437445759502e-06
RPLP1,-8.260450045575763e-06
TNFSF4,-8.335217885420158e-06
NFKBIZ,-8.4287255998349e-06
H2-T23,-8.585892875992523e-06
GSTT2,-8.631062260303401e-06
PSME1,-8.868950341926366e-06
PDZK1IP1,-8.91493236252177e-06
HSD17B10,-8.920138453031432e-06
IL12RB2,-9.177079276896304e-06
GZMB,-9.306332127113745e-06
IL3,-9.475613906310519e-06
B3GNT2,-9.601891553243238e-06
1500012F01RIK,-9.747340073452946e-06
STAT4,-9.807859674523289e-06
TNFSF11,-9.870063200545453e-06
LAD1,-9.943177155385433e-06
GPR183,-9.978019479092328e-06
UQCR10,-9.992325228891014e-06
LAG3,-1.011429680962715e-05
CTH,-1.0164502258029136e-05
IFI27L2A,-1.0434249320706101e-05
PRELID2,-1.0625600983666641e-05
TNFRSF9,-1.0795756037988803e-05
LSP1,-1.0975160762213223e-05
CD3G,-1.1019148800730619e-05
ATF4,-1.129527768043e-05
PSRC1,-1.1452186848236597e-05
CD3D,-1.1479081875383192e-05
CHPT1,-1.1488702499373467e-05
BSG,-1.1548689584471832e-05
CD5,-1.1613377479749605e-05
SERPINB9,-1.1786723634961764e-05
CD6,-1.1973969155121432e-05
GRAP,-1.2052903783079567e-05
B2M,-1.2060906711373819e-05
IFITM3,-1.2313431767925878e-05
SH2D1A,-1.2411271772861696e-05
RPS27,-1.246290319407555e-05
PARK2,-1.263513206152532e-05
PHLDA3,-1.2722902968590583e-05
CHURC1,-1.3055498031948557e-05
GIMAP6,-1.3286675907832323e-05
CCL4,-1.3378713461308773e-05
PKM,-1.3910219877994996e-05
ANXA2,-1.396502748757269e-05
SLAMF6,-1.4313314779473507e-05
NRN1,-1.4786668320660112e-05
CD9,-1.4948942749161445e-05
COX8A,-1.5145646585828693e-05
BHLHE40,-1.6142515882557232e-05
IFITM2,-1.6184571172508087e-05
TNFSF8,-1.6198853999730063e-05
RPL38,-1.6239706679579768e-05
MS4A4B,-1.6434097744041297e-05
BATF,-1.6477373990358293e-05
ALDOA,-1.6479904836247964e-05
GLIPR1,-1.657722242417247e-05
SRGN,-1.6799717525378075e-05
SERPINB6B,-1.681644992499867e-05
SHISA5,-1.7416514184206068e-05
NOP10,-1.7502193575536984e-05
PTPRCAP,-1.7519425320610904e-05
RPS28,-1.762780900677372e-05
GIMAP5,-1.7896824788833087e-05
BTLA,-1.840201862473056e-05
GAPDH,-1.8480639771967092e-05
BAX,-1.8542703483688904e-05
SLFN2,-1.8944817552022e-05
CD40LG,-1.9172958791285683e-05
ITM2A,-1.9533462877368742e-05
ENO1,-2.0493587899915363e-05
CCL3,-2.0971803074881666e-05
IL2RG,-2.1124814638743368e-05
PGK1,-2.1910541811370548e-05
TIGIT,-2.2401870300932735e-05
CCNG1,-2.246115568292757e-05
RILPL2,-2.258797810359356e-05
PIM2,-2.2594192210053484e-05
SERPINE2,-2.2783384931586885e-05
CRABP2,-2.2906180650946487e-05
CD81,-2.2926889876901967e-05
SAT1,-2.4130049092602516e-05
DNAJC15,-2.4152861109770188e-05
RPS27L,-2.5744934423331832e-05
CST7,-2.6120823911669095e-05
CD69,-2.705648565239158e-05
GPR171,-2.918724805159446e-05
DUSP2,-3.101623855770236e-05
MS4A6B,-3.179094506781002e-05
GBP2,-3.2547693952222785e-05
TNFRSF18,-3.394060468350013e-05
S100A6,-3.5597235810039374e-05
LUM,-3.7717620597392376e-05
CDKN1A,-4.056890015095842e-05
RPS29,-4.3247266322246673e-05
DDT,-5.2993952913224964e-05
IL22,-5.9039115003975054e-05
TPI1,-6.15848018338011e-05
CD53,-6.662042250340955e-05
CD200,-6.7304984416262e-05
NFKBIA,-7.054162705667006e-05
TNFRSF4,-7.119965510289853e-05
RPL41,-9.461554178733162e-05
MIF,-0.00010649603773653886
ID3,-0.00011956422610304419
IL2,-0.000816425332635009
