,row_E1_data
ACTG1,-1.7557532424348853e-05
SLFN2,-1.7754935351274678e-05
CD6,-1.8123828138706945e-05
GIMAP5,-1.8348840933691627e-05
CRABP2,-1.853719695343175e-05
CD5,-1.8768905760435724e-05
PGAM1,-1.8908355280374906e-05
CCL4,-1.9218799693083293e-05
GLIPR1,-1.9855285654870894e-05
IFITM2,-1.995633805590329e-05
HNRNPA1,-2.0274259013660295e-05
BTLA,-2.1684795849843246e-05
GPR171,-2.2406831422397155e-05
PSMA6,-2.26538322007366e-05
SERPINE2,-2.2687283854920293e-05
BCL2A1D,-2.294818944951542e-05
PGK1,-2.3244863439567738e-05
CCL3,-2.5007680777910847e-05
CCNG1,-2.5957218611906723e-05
MS4A6B,-2.615717995688823e-05
CD40LG,-2.632231304277818e-05
DNAJC15,-2.713238121981249e-05
TIGIT,-2.7425282969591758e-05
PKM,-2.9168490255535674e-05
PIM2,-2.9248714018427407e-05
IL2RG,-2.9355600663845207e-05
CST7,-3.0086681461925595e-05
BATF,-3.0148292317914974e-05
RPS27L,-3.0270480031354476e-05
HSPD1,-3.198081184411304e-05
LY6A,-3.28326604821447e-05
S100A6,-3.3090448422249626e-05
TPI1,-3.312123055326379e-05
CD69,-3.406507132210476e-05
ALDOA,-3.436946771300702e-05
SAT1,-3.4791770840904995e-05
RILPL2,-3.54946095117515e-05
LUM,-3.591934118749237e-05
SRM,-3.6316907757896747e-05
ENO1,-3.765838328079207e-05
RPS2,-4.0697172888298154e-05
DDT,-4.102031199884589e-05
TNFRSF18,-4.267578229808655e-05
CDKN1A,-4.3962978532152534e-05
DUSP2,-4.7333241722045784e-05
LDHA,-4.816939344519985e-05
NPM1,-4.917136438941348e-05
NFKBIA,-6.260760067563841e-05
IL22,-6.450181223454684e-05
CD53,-7.617755626114232e-05
SRGN,-7.687554746496045e-05
MIF,-8.317192169021302e-05
CD200,-8.550498605798036e-05
ID3,-0.00013223502130612258
TNFRSF4,-0.00013262373794188252
IL2,-0.0008486700027687825
