,row_C2_data
RPS4X,-2.448003010597626e-05
RPL35,-2.5924528824760462e-05
IFI47,-2.6223231580165274e-05
FAU,-2.6376640479789613e-05
LTB,-2.638199310880139e-05
RPL11,-2.7263178959634167e-05
RPS13,-2.7840338037736913e-05
CTSW,-2.9150978647549694e-05
RPL5,-2.9727528418666173e-05
RPL27,-3.0282225836881333e-05
NACA,-3.130751614398308e-05
RPL26,-3.1557847947178845e-05
RPL18,-3.166126941074864e-05
RPL10,-3.173533469680718e-05
RPS17,-3.257883122955558e-05
RPL30,-3.351438805821279e-05
RPL8,-3.387651472981076e-05
RPS16,-3.469283681849407e-05
RPS20,-3.5159017290978755e-05
RPL10A,-3.590584776023086e-05
RPL6,-3.911206811541468e-05
RPL34,-4.234570824944531e-05
RPL3,-4.256286456571476e-05
CTLA2A,-4.3288196510314764e-05
RPL18A,-4.336620605836035e-05
RPL17,-4.447716238284346e-05
RPS15,-4.711018643354764e-05
UBA52,-4.937200940916296e-05
IGFBP4,-5.113838388033443e-05
RPL35A,-5.8314485908532335e-05
RPS23,-5.951275370333082e-05
RPS14,-6.45505314637308e-05
RPL22L1,-7.083507258994599e-05
AQP3,-7.641301529465232e-05
HSPA8,-7.765064704450182e-05
RPS11,-8.889210890615095e-05
TIMP1,-9.141024439471372e-05
RPS18,-0.00010347753892969561
LTA,-0.00011252741888688273
IL9,-0.0003194841267196807
EEF1A1,-0.0003861840536643268
IL17F,-0.0006671460663763345
