,row_B3_data
TAGAP1,-3.60334650393092e-06
IL10,-3.6271198600660123e-06
HIST2H2AA1,-3.6277181650484136e-06
LGALS3,-3.687192109071886e-06
SUSD3,-3.7138180076912192e-06
SH2D2A,-3.759045190490702e-06
IKZF3,-3.7799494577658196e-06
LAMP1,-3.7860114526109804e-06
B4GALT1,-3.87063267344589e-06
SLC4A11,-3.914127739023808e-06
GM20594,-3.925456302658555e-06
RGS10,-3.961380417966622e-06
TMEM176A,-3.96776145830105e-06
TRPV2,-4.025852345942898e-06
KCTD14,-4.0290172767001e-06
CD69,-4.052972076040208e-06
B2M,-4.1054213852189975e-06
RGCC,-4.184786143816107e-06
APLP2,-4.192232158935024e-06
TPT1,-4.231821308805546e-06
TNFSF4,-4.387124358783356e-06
TNF,-4.3982436177514205e-06
MAF,-4.530306110959798e-06
TNFRSF18,-4.562951215240362e-06
GPR15,-4.576572141179611e-06
IL17A,-4.607166935048187e-06
GPX1,-4.690334401172589e-06
RPSA,-4.713758449621772e-06
ST3GAL4,-4.723080962011959e-06
ME2,-4.740656822765406e-06
EMP3,-4.832691705741435e-06
MYL12B,-4.8636878275288515e-06
GM20604,-4.982550655188054e-06
CCR8,-4.999951348131428e-06
PHLDA3,-5.073071623422473e-06
AA467197,-5.11421721194412e-06
SOAT1,-5.139222999604071e-06
ACSBG1,-5.15686872804443e-06
SEPW1,-5.2729166883129985e-06
DOK1,-5.3329853128996545e-06
HCLS1,-5.670145811845472e-06
SRGN,-5.735086237980195e-06
S100A6,-5.746255959649213e-06
H2-D1,-5.770661532732287e-06
EMP1,-5.774585627499063e-06
TNIP2,-5.781187804458352e-06
FXYD5,-5.977603191875097e-06
MS4A4B,-6.038942669339703e-06
FTH1,-6.1263853770440535e-06
UBB,-6.181290628846293e-06
CRIP1,-6.185132153624675e-06
ARHGDIB,-6.194503950968523e-06
MAPKAPK3,-6.310465632929697e-06
APOL9B,-6.467241109234074e-06
CTLA4,-6.827478847545565e-06
TNFRSF4,-7.326414293107332e-06
CKB,-7.616832831385473e-06
GRCC10,-7.623076370527447e-06
LAT,-8.046347212808876e-06
RPS4X,-8.117984569625892e-06
NT5E,-8.221731115048715e-06
RPL23A,-8.469833855169365e-06
IFI47,-8.944940153072368e-06
SH3BGRL3,-8.953507981904425e-06
DGKA,-9.161295705543565e-06
CYP11A1,-9.333085833921566e-06
LPXN,-1.0334326762941673e-05
ID3,-1.0703666178144762e-05
SERPINE2,-1.0766930850666695e-05
LGALS1,-1.1110545236575744e-05
LY6A,-1.153667792045042e-05
SERPINB1A,-1.1782940566083857e-05
IL17F,-1.2144390829036192e-05
CDKN1A,-1.2396990508217162e-05
CNDP2,-1.2972060667583875e-05
FOXP3,-1.2980192089350263e-05
PDPN,-1.3301790107081415e-05
CCL20,-1.3397025147651044e-05
RELB,-1.3598953107493e-05
PLP2,-1.4020812041323179e-05
OLFM2,-1.5595966813508737e-05
CTLA2B,-1.622666886993908e-05
IRF8,-1.7131672921739743e-05
SGK1,-1.8048319867917896e-05
LTB,-1.8288500701511792e-05
EEF1A1,-1.9641809602558588e-05
CD52,-2.0760198566065227e-05
RGS1,-2.5882961550884773e-05
TNFRSF13B,-2.62520296414398e-05
VIM,-2.7889290504339927e-05
ASS1,-3.0358444247092874e-05
CTSW,-3.0746220774929425e-05
CCR7,-3.513604140733184e-05
TMSB4X,-3.6797075688730735e-05
CTLA2A,-4.259178461319275e-05
IGFBP4,-5.4832808098204746e-05
CAPG,-6.239052163422295e-05
IL2,-7.186402502371323e-05
AQP3,-7.53310061902914e-05
LTA,-0.0001131265723345946
IL9,-0.0002793107816671657
