,row_B5_data
RGS1,-2.2305953981037284e-05
CD52,-2.303532072588335e-05
TNFRSF13B,-2.5739293626660287e-05
ASS1,-2.758860007236935e-05
TMSB4X,-2.9071508521842914e-05
CTSW,-2.940626408080678e-05
IGFBP4,-3.985485329764026e-05
CTLA2A,-4.004447683825996e-05
IL2,-5.124808008114085e-05
CAPG,-6.584355013936272e-05
AQP3,-7.624038003854464e-05
LTA,-0.00011918726853447853
IL9,-0.00026744296816855857
