,row_E7_data
ATF4,-1.0508039924541763e-05
PSRC1,-1.057727103334318e-05
GSTT2,-1.064742341992176e-05
HMGCS1,-1.0666989558395803e-05
TNFSF11,-1.095767563279343e-05
TFRC,-1.0991261457341655e-05
LAD1,-1.1044459297212232e-05
BHLHE40,-1.1055959668350773e-05
PSMA6,-1.111403014284673e-05
SERPINB9,-1.1629447803980815e-05
CD3G,-1.1806919163799667e-05
CTH,-1.1862870870182555e-05
B3GNT2,-1.221438609836402e-05
GRAP,-1.2293302275648243e-05
BCL2A1D,-1.2455908915973547e-05
PFKL,-1.247376347311682e-05
PTPRCAP,-1.250909493264408e-05
SLAMF6,-1.2838286219819567e-05
GIMAP6,-1.3151167424387213e-05
PHLDA3,-1.3228109456097002e-05
PRELID2,-1.4475211310460228e-05
BAX,-1.4956661137854841e-05
IFITM3,-1.5178709858115591e-05
BSG,-1.5479588726293416e-05
CD6,-1.558255236505101e-05
TNFSF8,-1.5790440473572638e-05
CD9,-1.6363123460108336e-05
CCL3,-1.644799144677145e-05
PGAM1,-1.6470079962383337e-05
SERPINB6B,-1.683927255367849e-05
SLFN2,-1.691391169175374e-05
CRABP2,-1.6940884193588793e-05
MS4A4B,-1.7471256595422183e-05
CD81,-1.7950245993102172e-05
NRN1,-1.7970827959724834e-05
IFITM2,-1.833429712091599e-05
HSPD1,-1.862288427886164e-05
GIMAP5,-1.917677694699211e-05
GLIPR1,-1.9556105552990597e-05
HNRNPA1,-1.964763420725084e-05
RPS27L,-2.0161591681307694e-05
CD40LG,-2.0209034621513968e-05
CD5,-2.0552261377759608e-05
LDHA,-2.107196876585248e-05
ITM2A,-2.1276468174803265e-05
TIGIT,-2.1369629612181203e-05
SH2D1A,-2.1504659253333526e-05
SERPINE2,-2.1728967022142737e-05
ANXA2,-2.225157638948883e-05
GBP2,-2.2674238482559594e-05
DUSP2,-2.3529841048604023e-05
BTLA,-2.353905286414996e-05
SRGN,-2.4010302723325583e-05
SAT1,-2.5002694069235572e-05
DNAJC15,-2.5526642819650366e-05
CST7,-2.5583050038171136e-05
IL2RG,-2.6012452678533338e-05
PKM,-2.619111930736933e-05
TNFRSF18,-2.6810088682765344e-05
CCNG1,-2.7788175239660198e-05
CD69,-2.80044029009309e-05
RILPL2,-2.8697758639943292e-05
NPM1,-2.9420947296128854e-05
GPR171,-3.092513853404656e-05
ACTG1,-3.257667311764125e-05
GAPDH,-3.3631504298978855e-05
S100A6,-3.4858533261578996e-05
MS4A6B,-3.5188646990601816e-05
PIM2,-3.568257009917106e-05
LUM,-3.7452552353105345e-05
PGK1,-3.9361823658289676e-05
CDKN1A,-4.135665935794263e-05
ALDOA,-4.283724619029948e-05
IL22,-4.803787504312481e-05
DDT,-5.14293655387557e-05
ENO1,-5.151667630602983e-05
NFKBIA,-6.629622280995991e-05
CD53,-6.908159922522911e-05
TNFRSF4,-7.690961327094925e-05
MIF,-7.967812056576036e-05
CD200,-8.722531200888682e-05
TPI1,-9.591402191043766e-05
ID3,-0.00012490837933261582
IL2,-0.000813442239847998
