,row_D1_data
TUBB5,-9.455064742028263e-06
RPL26,-9.862059517618503e-06
RPS20,-9.928693154607907e-06
EIF5A,-1.0342102440794661e-05
RPS21,-1.086860916881182e-05
LY6A,-1.1199506701087039e-05
CRIP1,-1.1319696418966445e-05
RPS2,-1.1331704825477446e-05
PHGDH,-1.1432288793413718e-05
ANP32B,-1.151907087913286e-05
ENO1,-1.1551464038112052e-05
RPL17,-1.22046044890008e-05
HSP90AB1,-1.2219236978052984e-05
SERPINB1A,-1.246150004584714e-05
IMPDH2,-1.278159073397092e-05
LDHA,-1.3118767812269743e-05
PDPN,-1.3301790107081415e-05
RPL13,-1.3715850298419267e-05
RPL28,-1.4003342858604417e-05
FOXP3,-1.4047274611987619e-05
PFN1,-1.4054325500372286e-05
CORO1A,-1.4163393917318814e-05
ASS1,-1.4192788236689125e-05
SOCS2,-1.427662017110714e-05
MT1,-1.4400342077229777e-05
CCL20,-1.4469977001001995e-05
UCP2,-1.4907573035066905e-05
OLFM2,-1.4986751888823716e-05
CNDP2,-1.5370384825665037e-05
RPL27,-1.5683863660749558e-05
RPL18A,-1.6299058750331397e-05
NACA,-1.6773953554098553e-05
CTLA2B,-1.6953503666712397e-05
IL2RB,-1.7273605183434536e-05
TGM2,-1.74998668693576e-05
RPS23,-1.7600069968261078e-05
IRF8,-1.8438829140414593e-05
SGK1,-1.8999599711128636e-05
VIM,-1.939597412483286e-05
ALDOA,-1.9657996320140232e-05
RPS15,-2.053009186620328e-05
RPL35A,-2.1427132727016115e-05
IFI47,-2.1853445399825334e-05
RPL11,-2.2144790388021156e-05
TNFRSF13B,-2.2366443605387777e-05
RPL18,-2.2445533426878955e-05
FAU,-2.2672692484058298e-05
CAPG,-2.296405480301228e-05
LGALS1,-2.3186050690365254e-05
LTB,-2.4679422517101803e-05
TUBA1B,-2.4717386919345603e-05
RPL8,-2.5007638764766083e-05
RPL6,-2.5522471661216096e-05
IL17A,-2.5672311296791002e-05
RPS7,-2.656257403456101e-05
RPL3,-2.6881415766686733e-05
RPS14,-2.7604945400923646e-05
CTSW,-2.8447037014598696e-05
RPL22L1,-2.8604479540539425e-05
RPS16,-2.9456440918803554e-05
RPS18,-2.9990937637669143e-05
RPL10A,-3.0615143538073006e-05
UBA52,-3.65124813025339e-05
HSPA8,-4.000163201339714e-05
CTLA2A,-4.2227570796835505e-05
RPS11,-5.001456969806257e-05
IGFBP4,-5.0598132950230854e-05
AQP3,-7.531428037462772e-05
TIMP1,-7.616924640859566e-05
LTA,-0.00011612774147356112
EEF1A1,-0.00021620961058890266
IL9,-0.0003009998898944484
IL17F,-0.0006315406989947829
