,row_B2_data
SOCS2,-4.298996542395121e-06
FXYD5,-4.307948314085751e-06
IL10,-4.328849320137129e-06
SPSB1,-4.339468415646523e-06
1500012F01RIK,-4.373480885066814e-06
LGALS1,-4.476320137218759e-06
ZFP868,-4.5327386939833226e-06
GRCC10,-4.562704499508438e-06
AA467197,-4.707421791813043e-06
KLK8,-4.722380380299662e-06
MAF,-4.764641425252499e-06
ID1,-4.808111238690711e-06
TNFRSF18,-4.854268396105347e-06
RGCC,-4.877613815328688e-06
RPL18A,-4.972525088057269e-06
ACSBG1,-5.055941251888902e-06
KCTD14,-5.093550681278537e-06
SUSD3,-5.1302200269539624e-06
HCLS1,-5.139598311102613e-06
EMP3,-5.167386556981799e-06
IFI27L2A,-5.3218742151727075e-06
TPT1,-5.322353048575252e-06
RPS18,-5.392846281292662e-06
SEPW1,-5.396248684025728e-06
FTH1,-5.442159358723855e-06
CCR8,-5.464211256309198e-06
CRIP1,-5.570391153340155e-06
CKB,-5.712668820761349e-06
EMP1,-5.774585627499063e-06
SH3BGRL3,-5.804812840802507e-06
B4GALT1,-5.8462977886074576e-06
MAPKAPK3,-5.977952889656948e-06
LSP1,-6.0486598054013555e-06
GM20594,-6.125754268809439e-06
UBB,-6.242704466544817e-06
CD81,-6.289258498643091e-06
CD69,-6.424023610718457e-06
APOL9B,-6.467241109234074e-06
RPL41,-6.508861179555631e-06
RPL39,-6.776360140938194e-06
PHLDA3,-6.827472421866953e-06
TMEM254B,-7.129369597146854e-06
LAT,-7.436092111359387e-06
CTLA4,-7.446309297783826e-06
LPXN,-7.760278725295899e-06
CYP11A1,-7.822688616781658e-06
CNDP2,-8.405960416544286e-06
NT5E,-8.763164302305087e-06
RPS4X,-9.400611540213283e-06
IFI47,-9.848440350983966e-06
TNFRSF4,-1.001667790433013e-05
PLP2,-1.0517901959828522e-05
SERPINB1A,-1.0552707153114606e-05
EEF1A1,-1.0558428248486128e-05
ID3,-1.091003571549396e-05
RPL23A,-1.1748509661471185e-05
IRF8,-1.2965688302401524e-05
PDPN,-1.3301790107081415e-05
FOXP3,-1.416384907330553e-05
OLFM2,-1.4590025102127646e-05
SGK1,-1.5604333141979784e-05
SERPINE2,-1.583862340766535e-05
CDKN1A,-1.6854596600129533e-05
CTLA2B,-1.7862433448942536e-05
CCL20,-1.8261283802073524e-05
VIM,-2.0126377955760713e-05
RGS1,-2.486045474876029e-05
CCR7,-2.6467329225619087e-05
TNFRSF13B,-2.7129785943629585e-05
CD52,-2.7889642479118264e-05
ASS1,-2.792367852663906e-05
LTB,-2.799239024949789e-05
CTSW,-2.9760251800489225e-05
IL2,-3.7997710827849905e-05
TMSB4X,-4.1628838624750795e-05
CTLA2A,-4.627016218043384e-05
CAPG,-6.076794765868703e-05
IGFBP4,-6.492527421243851e-05
AQP3,-7.758273010561109e-05
LTA,-0.00011869017627584641
IL9,-0.0002545278161805006
