,row_D8_data
RPS17,9.593046534948517e-06
CD3D,9.514671831966643e-06
RPS21,9.477120409384155e-06
CD27,9.379339392994353e-06
ITGB7,9.220144466941847e-06
DUSP2,9.041648840554056e-06
CD2,8.87161537105403e-06
RPL14,8.55713624787059e-06
GBP2,8.433214699716412e-06
RPS24,8.429442413433589e-06
NPC2,8.38516494342485e-06
H2-D1,8.319026583670038e-06
GPI1,8.168023225243479e-06
RPL36,8.13513941600675e-06
RNF145,8.081156661380953e-06
ANP32B,7.957286936876195e-06
ITK,7.641683483664739e-06
PTMA,7.503658041634704e-06
GAPDH,7.316665054683859e-06
RPL39,7.231099842369926e-06
RPL11,7.169614122950693e-06
RPLP1,6.945810374091245e-06
RPL7,6.723245840838013e-06
RPS9,6.650671743098265e-06
THY1,6.450645960378341e-06
FBL,6.324978515450493e-06
RPL10,6.313403592971738e-06
AKR1C18,6.282784002630252e-06
COTL1,6.272211272659046e-06
RAPGEF4,6.090583033709505e-06
CKB,5.996074942733898e-06
SERPINB9,5.989280524549321e-06
SRGN,5.905152836423915e-06
IL2RG,5.81355305644578e-06
PSME1,5.799614965519903e-06
PDCD1LG2,5.739934555611875e-06
ATP5A1,-5.787324872023642e-06
HNRNPA1,-5.8259689940616045e-06
CCT6A,-5.865995560967899e-06
SLC4A11,-5.953182749773982e-06
NT5E,-5.966030440730672e-06
TUBB6,-6.00312053229246e-06
PRDX1,-6.08344927929583e-06
TPM4,-6.195663303415033e-06
IRF4,-6.2342780499107985e-06
MRPS18B,-6.2819820992202156e-06
PRR13,-6.40071139280037e-06
APOL9B,-6.467241109234074e-06
IL3,-6.565119027081947e-06
NINJ1,-6.639971519263077e-06
RAN,-7.019752095104804e-06
NME1,-7.092252563128756e-06
PPIA,-7.140880020198358e-06
SGK1,-7.440746209567915e-06
PRDX2,-7.634401758569577e-06
CCNB1,-7.711686002905368e-06
SERPINB1A,-7.804380378640888e-06
HSPA8,-8.311303552014547e-06
TNIP2,-8.343144837779787e-06
TIMM23,-8.376391679220581e-06
SCD2,-8.793994313844331e-06
CALM2,-8.801263549050868e-06
GATM,-8.83495504455799e-06
UBE2C,-8.902113916476794e-06
HIST1H2AO,-9.21332631760161e-06
PLP2,-9.2950343960958e-06
PDZD11,-9.498853398498837e-06
SLC25A4,-9.540016123445739e-06
HMGN2,-9.647799288289727e-06
CTLA2A,-1.002337881404469e-05
CDC20,-1.0073189493706774e-05
PDCD1,-1.0234740828014992e-05
RPS27L,-1.0367712239015762e-05
HMGN1,-1.04009867548975e-05
APRT,-1.0609858608503455e-05
FOXP3,-1.061761896064238e-05
BATF,-1.0635678817528794e-05
ASS1,-1.0673788495672849e-05
KPNA2,-1.1352161369670226e-05
MT2,-1.1925329526479996e-05
SMIM3,-1.203344108065377e-05
ATP5B,-1.2088783540742214e-05
TUBB4B,-1.2424450900390865e-05
GM20594,-1.2551243652555836e-05
TNFRSF13B,-1.2851265111146943e-05
PDPN,-1.3301790107081415e-05
CHPT1,-1.3681536929718555e-05
CTLA2B,-1.4100681035663086e-05
HSPD1,-1.4372827835956175e-05
OLFM2,-1.4665589243233518e-05
CCL20,-1.605811739877064e-05
CTSW,-1.6295473953224204e-05
PARK2,-1.6344497060984804e-05
MT1,-1.66121457500035e-05
H3F3B,-1.7329797540391608e-05
LGALS1,-1.9600308498249938e-05
RRM2,-2.0004783783191676e-05
TUBA1B,-2.0191310647106234e-05
IL17A,-2.299700423283673e-05
CAPG,-2.641932620855067e-05
CHURC1,-2.64840193854968e-05
CCL3,-2.664613571223386e-05
VIM,-2.8564986086336534e-05
IL22,-3.828295346290349e-05
ACTG1,-6.835442915309936e-05
AQP3,-7.388611635080729e-05
LTA,-8.947059070074779e-05
TIMP1,-0.00024945793241808244
IL9,-0.00031497544233804564
IL17F,-0.0007430955175567512
