,row_C4_data
RPS5,-1.4715005146686622e-05
CNDP2,-1.4785751666942802e-05
RPL31,-1.4840050907904696e-05
ACTB,-1.5009297490301509e-05
LY6A,-1.5259122421300687e-05
TGM2,-1.5508229253308053e-05
CTLA2B,-1.5599331849892994e-05
RPL7A,-1.6712204381895494e-05
IMPDH2,-1.711835425732429e-05
VIM,-1.7231140540242528e-05
RPS4X,-1.7264344330689683e-05
IL2RB,-1.757020095036324e-05
RPL7,-1.7896938669712263e-05
IRF8,-1.7984762358994844e-05
TUBB5,-1.8194128128318172e-05
RPS19,-1.8308474761709494e-05
RPS27,-1.8734979605717088e-05
RPS8,-1.8778849718384903e-05
RPL37,-1.882594421074812e-05
RPL36AL,-1.941827981126652e-05
PTMA,-1.955567278540482e-05
SGK1,-2.0219305255336078e-05
RPS25,-2.0885993602051873e-05
TNFRSF13B,-2.2192222774128958e-05
LGALS1,-2.275447071061108e-05
RPL5,-2.2842835737959247e-05
IFI47,-2.3201346190447623e-05
CORO1A,-2.3514543285970416e-05
RPS10,-2.400122313151999e-05
RPS21,-2.413723721190568e-05
CAPG,-2.452653420571018e-05
RPL14,-2.571979789468159e-05
HSP90AB1,-2.7538429976030657e-05
RPL27,-2.7814215572960797e-05
GNB2L1,-2.7850317107280836e-05
FAU,-2.808053629243146e-05
RPL13,-2.8204995291484744e-05
IL17A,-2.8571765467648497e-05
RPS13,-2.937047971590418e-05
RPS17,-2.949068802229058e-05
CTSW,-2.966373356463632e-05
RPLP2,-3.0058165399033597e-05
NACA,-3.112800739841061e-05
RPL35,-3.139985198045411e-05
LTB,-3.1716032309265695e-05
RPL8,-3.265931674508647e-05
TUBA1B,-3.3455228973767244e-05
RPS7,-3.38753074949453e-05
RPL11,-3.6078301861275683e-05
RPL26,-3.6369062341081425e-05
RPL3,-3.730156740702181e-05
RPL10,-3.801926395830186e-05
RPL30,-4.1458842749310355e-05
RPL10A,-4.1555913718414764e-05
RPL28,-4.1868198390080595e-05
RPL18,-4.2062833946825e-05
RPS20,-4.371365188482495e-05
RPL6,-4.403490015991989e-05
CTLA2A,-4.559348108977396e-05
RPS16,-4.678242038742332e-05
RPL34,-4.7833113418381404e-05
RPL35A,-5.2461109330112195e-05
RPL17,-5.597200587022417e-05
RPL18A,-5.659864620497537e-05
RPS15,-5.7000338290926985e-05
RPS23,-6.480773853646474e-05
UBA52,-6.626206574947264e-05
IGFBP4,-6.694626730552024e-05
RPL22L1,-6.770855044954818e-05
AQP3,-7.55457100382698e-05
RPS14,-7.621424613533446e-05
HSPA8,-7.792840680487885e-05
TIMP1,-8.741525022188807e-05
RPS11,-0.00010138788394369692
RPS18,-0.00011114225400331946
LTA,-0.00012370335071908072
IL9,-0.0003113306838267412
EEF1A1,-0.00042966297964654046
IL17F,-0.0005453916545631102
