,row_C8_data
CTLA4,6.295744332784447e-06
CD82,6.28581891345271e-06
B3GNT2,6.255963982530566e-06
IL3,6.21362955385283e-06
RPL23A,6.196268122844029e-06
GIMAP7,6.09292525287104e-06
RGCC,6.081880274309965e-06
TESC,6.0092221580148605e-06
CKB,6.008037748846743e-06
LAD1,5.605999905737773e-06
TNFSF11,5.546293272495394e-06
SRM,5.48605656682623e-06
RNF145,5.4734017856202585e-06
CD9,5.449619156523284e-06
CD2,5.355701423661692e-06
LAG3,5.245942523185665e-06
RPL34,5.2412516526489954e-06
SLC16A3,5.1097900054798414e-06
IER3,5.014375701321063e-06
UBB,4.975151952943567e-06
TSPAN3,4.974358797617387e-06
NPC2,4.916668727882956e-06
CYBA,4.883520463681031e-06
SLFN1,4.830343162577878e-06
PFKP,4.713291488839275e-06
RPL26,4.577720389338169e-06
GPR171,4.562199811451288e-06
ITK,4.536663081252817e-06
RAC2,4.502438962037968e-06
GRAP,4.467291914258902e-06
RPS8,4.191805365924166e-06
RPL13,4.189989263834326e-06
ANKRD37,4.169671441805737e-06
ITM2A,4.16576927207762e-06
MGARP,4.14959601632501e-06
LAPTM5,4.125210213363493e-06
RPS3A1,4.092924863537535e-06
PTMA,4.075809054222588e-06
NSUN2,4.02544566158349e-06
FAU,3.992558680257532e-06
MYC,3.9039767326824656e-06
STAP1,3.8900490502196524e-06
CD83,-3.8052968027505888e-06
APLP2,-3.8846837372860075e-06
TCF25,-3.906872163327236e-06
TGM2,-3.958429920322741e-06
EIF5A,-4.05076357531454e-06
INTS4,-4.0763861271928396e-06
CCNB2,-4.101655296019338e-06
KCTD14,-4.229186498232902e-06
TUBB5,-4.343338565397244e-06
HIST1H2AO,-4.376185197280607e-06
ILDR1,-4.498164373016402e-06
HINT1,-4.530566120946487e-06
GPR15,-4.576572141179611e-06
IRF4,-4.650320241666255e-06
TMEM176B,-4.712862283908496e-06
CD6,-4.746386117439025e-06
RPS27L,-4.804283141754973e-06
SLC39A8,-4.908738515858509e-06
CNBP,-5.23412311403234e-06
MAF,-5.3891607088879304e-06
CD5,-5.447012679832299e-06
H3F3B,-5.4568815590435205e-06
HMGN2,-5.526366694633555e-06
PDCD1,-5.57662988672756e-06
TMEM14C,-5.588151702468643e-06
RRM2,-5.6777266729960075e-06
TUBB6,-5.7668629329111445e-06
EMP1,-5.774585627499063e-06
HMGN1,-5.877571241588589e-06
RGS1,-5.895970263654272e-06
PRR13,-5.929689279546201e-06
RPS27A,-5.957170752335723e-06
ZFAND1,-5.9956347949976215e-06
NT5E,-6.025637974967987e-06
GATM,-6.260909299733009e-06
RPLP1,-6.272330604527028e-06
CDC20,-6.443344280656039e-06
APOL9B,-6.467241109234074e-06
UBE2C,-6.711018770391461e-06
PPIA,-7.010600010465143e-06
FDPS,-7.234559472942189e-06
NINJ1,-7.2393530695791575e-06
CALM2,-7.294063489680352e-06
SERPINB1A,-7.598806238307623e-06
GM20594,-7.78187543207896e-06
NUDT2,-8.045435071186121e-06
FTH1,-8.216624414929366e-06
SCD2,-8.29004949284523e-06
APRT,-8.693420508131984e-06
TNIP2,-8.761786089846157e-06
CHURC1,-8.78182637070412e-06
CHPT1,-9.147273340871665e-06
PLP2,-9.607109381995897e-06
AURKA,-9.723696799105555e-06
SLC25A4,-9.966063731679411e-06
SGK1,-1.0550556957668913e-05
LGALS1,-1.0603702112477492e-05
CTLA2B,-1.064451478342015e-05
ASS1,-1.0651883091189628e-05
PARK2,-1.0993587885411814e-05
SMIM3,-1.109946687652599e-05
CCL3,-1.1379566270527863e-05
FOXP3,-1.219938571970206e-05
PDPN,-1.2420434728943422e-05
TUBA1A,-1.2889557983930875e-05
TNFRSF13B,-1.3310826126628613e-05
CTLA2A,-1.3556923905478714e-05
TUBB4B,-1.426988306577443e-05
OLFM2,-1.5595966813508737e-05
CCL20,-1.5769617097958905e-05
MT2,-1.7006910372693645e-05
HIST1H2AP,-1.7630268670517263e-05
MT1,-1.865767776453845e-05
CTSW,-2.1009108556946684e-05
VIM,-2.2277573880561545e-05
CAPG,-2.3361678009371027e-05
TUBA1B,-2.386984470578214e-05
IL22,-3.1041068455373216e-05
IL17A,-4.3150251822410274e-05
ACTG1,-6.671287539396583e-05
AQP3,-7.291236617905844e-05
LTA,-7.843174560454236e-05
TIMP1,-0.00027265856032950096
IL9,-0.0003126938934461224
IL17F,-0.000934646436060528
