,row_C7_data
S100A11,5.413013923611105e-06
RGCC,5.32512159489263e-06
SLAMF6,5.197174061911231e-06
TESC,5.192341374867468e-06
CYBA,5.123345350405342e-06
DAPL1,5.100851718113462e-06
RPL11,4.9373000133817155e-06
ZBTB32,4.857461667329455e-06
RPS3,4.822834176303149e-06
BCL2,4.7608771838288255e-06
PFKP,4.671365692793162e-06
PSMB8,4.545275794158295e-06
ECM1,4.389447118197495e-06
RPS7,4.349284104725878e-06
RPS24,4.282343758593365e-06
CTLA4,4.2490642351604506e-06
RPL18,4.2411667822798564e-06
HIST1H2AG,4.055429222620978e-06
PFKL,4.002500325444239e-06
HIGD1A,3.99574176371478e-06
CRIP1,3.979182619332149e-06
RPL35A,3.935183473783606e-06
AKTIP,-3.861529931263741e-06
CCL4,-3.8685976648952415e-06
ATP5B,-3.889553410888611e-06
HSP90AB1,-3.909356743787349e-06
ILDR1,-4.02724759153467e-06
FABP5,-4.067110463485164e-06
HSPD1,-4.115188381908465e-06
APLP2,-4.197134786576261e-06
UBE2C,-4.230184532628156e-06
EIF4A1,-4.249387198904293e-06
PARK2,-4.26435913817017e-06
HNRNPK,-4.2827789123272195e-06
PROCR,-4.39775119249722e-06
HMGN2,-4.418613877746376e-06
SLC39A8,-4.520465048273092e-06
GPR15,-4.576572141179611e-06
CCT6A,-4.611828314683533e-06
CDC20,-4.685692262270247e-06
MAF,-4.688018742277851e-06
CYP11A1,-4.717053464922545e-06
TUBB6,-4.730160422135805e-06
ENTPD4,-4.735491408490363e-06
SLC4A11,-4.8338616848329425e-06
AP2M1,-4.928247557429194e-06
UGGT1,-4.946794163393095e-06
RRM2,-4.976262903958723e-06
S100A6,-5.100078646152047e-06
CD6,-5.113649636234892e-06
APRT,-5.205815197195211e-06
SSU72,-5.238456450527464e-06
SLC25A4,-5.250176836244865e-06
APEX1,-5.4508804609361675e-06
MT1,-5.557861474028487e-06
CALM2,-5.606751846459704e-06
LGALS1,-5.709490701409413e-06
EMP1,-5.774585627499063e-06
INTS4,-5.820856406765459e-06
TMEM29,-5.835144456044086e-06
H3F3B,-5.901253938943058e-06
CD5,-5.909448886251365e-06
KCTD14,-6.1243202044164725e-06
NT5E,-6.238096691017757e-06
TMEM14C,-6.239497266969869e-06
FTH1,-6.365915308732573e-06
APOL9B,-6.467241109234074e-06
HMGN1,-6.56514785969913e-06
NINJ1,-6.664839690133048e-06
GATM,-7.015886007129143e-06
PLP2,-7.1557643983539285e-06
EEF1A1,-7.32272440057713e-06
TUBB5,-7.822803674429775e-06
CHURC1,-7.90116598208263e-06
IRF4,-8.032494246820076e-06
TNIP2,-8.188320639231939e-06
FDPS,-8.769683358954286e-06
SERPINB1A,-8.962686129906499e-06
SCD2,-9.086302685599737e-06
SMIM3,-1.0725381800083614e-05
SGK1,-1.1314806095207276e-05
HSPA8,-1.1937576687773359e-05
TUBA1A,-1.2199411836268331e-05
ASS1,-1.2254961413597085e-05
TNFRSF13B,-1.2257403109944575e-05
CCL3,-1.3262195183057465e-05
CTLA2B,-1.3262790705926673e-05
PDPN,-1.3301790107081415e-05
FOXP3,-1.3824558918173774e-05
MT2,-1.3911370250309974e-05
CCL20,-1.4279026612232412e-05
OLFM2,-1.501641977812628e-05
CTLA2A,-1.5322459365218888e-05
TMEM254B,-1.6135361225173095e-05
CAPG,-1.8243724268341557e-05
TUBB4B,-2.097572182708844e-05
CTSW,-2.2052376604854488e-05
TUBA1B,-2.6011544396286398e-05
IL22,-2.9771398259268175e-05
GM20594,-3.060607722092597e-05
VIM,-3.662690108535941e-05
IL17A,-4.0195779042225875e-05
ACTG1,-5.6090832276846955e-05
LTA,-7.08137788375185e-05
AQP3,-7.544078528939447e-05
TIMP1,-0.00022407677777657652
IL9,-0.00031549871357533754
IL17F,-0.000835287204320226
