,row_C1_data
RPL18,-3.17598016921684e-05
RPL13,-3.315281065500688e-05
RPL11,-3.3702201653615284e-05
RPL27,-3.423344378814216e-05
RPS20,-3.7403347244566334e-05
RPL3,-3.788342446107404e-05
RPL6,-3.9996120449095564e-05
RPS15,-4.054422997474161e-05
RPL10A,-4.145181299437594e-05
CTLA2A,-4.367652127385773e-05
RPS16,-4.5679649370239134e-05
RPL35A,-4.7544790638879187e-05
RPS23,-4.805412105513598e-05
HSPA8,-5.2864797406770674e-05
IGFBP4,-5.4531563104007837e-05
RPS14,-5.824784835171173e-05
UBA52,-5.874461295852265e-05
RPL22L1,-6.042436050393679e-05
RPS18,-7.0199555444546e-05
AQP3,-7.59680051059929e-05
RPS11,-8.77752874077712e-05
TIMP1,-8.876595852957557e-05
LTA,-0.00010998856913292595
EEF1A1,-0.000301021398274062
IL9,-0.0003087614018670749
IL17F,-0.0005922641766250628
