,row_E4_data
CD82,-1.2240557227152358e-05
CCL3,-1.2578708218206215e-05
CTH,-1.2760821366408857e-05
NAA20,-1.2819867807627645e-05
MS4A4B,-1.3188193261301744e-05
PRELID2,-1.3357729646891759e-05
BHLHE40,-1.3389172903260475e-05
GRAP,-1.4100458921169164e-05
IFITM3,-1.4146540125278704e-05
TFRC,-1.4248142661102824e-05
GSTT2,-1.486272969780613e-05
BCL2A1B,-1.5301366139562213e-05
SERPINB6B,-1.5577702257900228e-05
GLIPR1,-1.5703476202096732e-05
BAX,-1.6011822302012066e-05
ITM2A,-1.6029027035294656e-05
GIMAP4,-1.6049273629781978e-05
TNFSF8,-1.640685374028074e-05
CD6,-1.6871834650916478e-05
BSG,-1.7304377786882204e-05
ACTB,-1.736365259798428e-05
IFITM2,-1.7721522713089814e-05
NRN1,-1.774984646015339e-05
PGAM1,-1.8310856537050738e-05
PSMA6,-1.8564632092076834e-05
CD9,-2.000861238851251e-05
PTPRCAP,-2.0467477422815182e-05
SH2D1A,-2.093396540142429e-05
SERPINE2,-2.135017996519581e-05
SLFN2,-2.1385028996458222e-05
IL2RG,-2.239325146561332e-05
GIMAP5,-2.2592585412782476e-05
CRABP2,-2.2986263424980176e-05
BTLA,-2.359080314342323e-05
MS4A6B,-2.389501532029652e-05
SAT1,-2.4241690416440653e-05
CD69,-2.449769674744896e-05
GPR171,-2.476750349929079e-05
BATF,-2.504329520529803e-05
CD5,-2.569118090653534e-05
CD40LG,-2.5863341248419767e-05
TIGIT,-2.5907737548389998e-05
DNAJC15,-2.6632877384485918e-05
HSPD1,-2.7871497121089388e-05
HNRNPA1,-2.808194904546044e-05
PIM2,-2.832126651791038e-05
CCNG1,-2.8982279212230703e-05
RPS27L,-3.098438135119201e-05
PGK1,-3.154226527959247e-05
BCL2A1D,-3.190199634815033e-05
GAPDH,-3.285618008463164e-05
LDHA,-3.330061216403425e-05
NPM1,-3.3581434392116545e-05
CST7,-3.4862381210269866e-05
RILPL2,-3.589788412196331e-05
LY6A,-3.657029211079414e-05
S100A6,-3.762042941286896e-05
LUM,-3.7717620597392376e-05
ACTG1,-3.878119916954435e-05
TNFRSF18,-3.9558378377375686e-05
PKM,-3.975294742178913e-05
DDT,-3.9818091227471063e-05
TPI1,-4.385347919417111e-05
CDKN1A,-5.309616442285544e-05
NFKBIA,-5.3303215745187545e-05
ENO1,-5.452466990843235e-05
ALDOA,-5.5350697821628976e-05
SRGN,-6.516324158172291e-05
IL22,-6.785435805793953e-05
CD53,-7.553168504664825e-05
CD200,-9.854725274247258e-05
TNFRSF4,-0.00010355440429840056
MIF,-0.00011823006198665462
ID3,-0.00013251726147134817
IL2,-0.0008785192554762549
