,row_D2_data
H2AFZ,-9.096216451372317e-06
COX4I1,-9.298232237732515e-06
EGLN3,-9.302979595065124e-06
TUBB4B,-9.33092973812722e-06
RPL36,-9.376412096879597e-06
CNDP2,-9.903281258338857e-06
HMGB1,-9.957160070802506e-06
GM6793,-1.0102395599885755e-05
RPL37,-1.015841296897284e-05
RPS27,-1.028063868161995e-05
RPS13,-1.0423063009563162e-05
CRIP1,-1.0427854080149384e-05
FDPS,-1.0671398121165009e-05
RPS25,-1.0677950169752807e-05
CHURC1,-1.08020997168483e-05
HMGA1,-1.1168671471815018e-05
RPL10,-1.1442431406530633e-05
KPNA2,-1.1591890258527763e-05
UBE2C,-1.1676547386140756e-05
SHMT2,-1.1784173587441148e-05
RPL26,-1.1844024435100513e-05
RPS17,-1.20085873217371e-05
RPL38,-1.2080020548971792e-05
GNB2L1,-1.2459375019679546e-05
SERPINB1A,-1.2574108361812194e-05
ASS1,-1.2637155229792976e-05
RPL35,-1.2714455799096803e-05
CAPG,-1.2936268998251767e-05
SOCS2,-1.3090597363640546e-05
PDPN,-1.3301790107081415e-05
RPL14,-1.3721068515251049e-05
RPL36AL,-1.3721255935610229e-05
FOXP3,-1.384904779986932e-05
HIST1H2AO,-1.4036482161398087e-05
RPLP2,-1.4573274434050122e-05
CHPT1,-1.4678541355164009e-05
FAU,-1.4712827168093004e-05
UCP2,-1.5118480537034562e-05
OLFM2,-1.5197218581236382e-05
RPL5,-1.5248969498527019e-05
VIM,-1.5416813819170842e-05
CTLA2B,-1.5500388002604828e-05
PHGDH,-1.5574049911880845e-05
CORO1A,-1.5655042277613415e-05
CCL20,-1.657174030483454e-05
EIF5A,-1.6581539859515025e-05
IRF8,-1.681993734054239e-05
TUBA1B,-1.6940392261126586e-05
TGM2,-1.7026190896383142e-05
RPS20,-1.7163968563399946e-05
IFI47,-1.7184208684947927e-05
RPL3,-1.7346773695262784e-05
SGK1,-1.7411013338617754e-05
HSP90AB1,-1.7500485331451966e-05
RPL28,-1.7515488454380686e-05
PTMA,-1.7994336394877602e-05
RPL30,-1.812659136010209e-05
IMPDH2,-1.8182657056112355e-05
NACA,-1.8436044392589022e-05
RPL34,-1.8445268151775758e-05
HIST1H2AP,-1.85090504573593e-05
RPL27,-1.8721534943302978e-05
RPS7,-1.8891143693523096e-05
MT1,-1.9444511503685997e-05
ACTB,-1.951375110533296e-05
RPL8,-1.9578004793729698e-05
RPL11,-2.010179745521741e-05
IL2RB,-2.0921302634494062e-05
PARK2,-2.0983399894731687e-05
RPL18,-2.1509891367607506e-05
IL22,-2.1715255079971e-05
TNFRSF13B,-2.172471904427842e-05
RPL6,-2.1871983214773427e-05
RPS21,-2.2510286970159996e-05
RPL10A,-2.290430019342624e-05
RPS23,-2.5035915910566703e-05
LGALS1,-2.5188127673493187e-05
UBA52,-2.6367107104485152e-05
RPS16,-2.8225159313405182e-05
RPL18A,-2.8258876550819287e-05
CTSW,-2.8844809950934545e-05
RPL35A,-2.9453834416328517e-05
RPS15,-3.313756781859488e-05
LTB,-3.5938149059901026e-05
RPL17,-3.6263439795469684e-05
RPS14,-4.099774864834739e-05
CTLA2A,-4.647530881647792e-05
IL17A,-4.755617302341733e-05
RPL22L1,-4.7828702753145475e-05
IGFBP4,-5.3432002009293596e-05
HSPA8,-5.451397986531065e-05
RPS11,-5.855230990473514e-05
RPS18,-6.087130657365789e-05
AQP3,-7.451201647930584e-05
TIMP1,-0.00010885641629517691
LTA,-0.00013160235133327636
EEF1A1,-0.00026794949689669693
IL9,-0.0003172637497784579
IL17F,-0.0009780930394152829
