,row_F8_data
IFITM2,-1.3859605156623945e-05
IFI27L2A,-1.400249350424644e-05
ITM2A,-1.5001180458480381e-05
COX8A,-1.5109823597025547e-05
SLAMF6,-1.59269284867912e-05
TNFSF8,-1.6161714350888182e-05
SHISA5,-1.6179051839235055e-05
GIMAP6,-1.6331422882932766e-05
NOP10,-1.6451729914416868e-05
GIMAP5,-1.647870531625838e-05
CD5,-1.6719043945431983e-05
GAPDH,-1.6809461043877915e-05
NRN1,-1.7118644084174203e-05
BATF,-1.7183233341365843e-05
BTLA,-1.743559715169514e-05
ALDOA,-1.745033180817625e-05
MS4A4B,-1.7530041829180422e-05
RPL41,-1.7704753761993853e-05
IL2RG,-1.776973685684488e-05
SERPINB6B,-1.8114839672872753e-05
CCL3,-1.8449583705096237e-05
RPLP1,-1.8975096154978633e-05
CD40LG,-1.9255334705245163e-05
PGK1,-1.994145825476232e-05
TIGIT,-2.0001532233388554e-05
CRABP2,-2.194249210559292e-05
BAX,-2.1952809230685048e-05
RPS27L,-2.2378492598438556e-05
GPR171,-2.2463375904512414e-05
PTPRCAP,-2.2691982067833078e-05
DNAJC15,-2.2846227752426996e-05
SERPINE2,-2.303230227490846e-05
ENO1,-2.3049650691604414e-05
CCNG1,-2.3223181901261866e-05
CST7,-2.383708667681472e-05
RILPL2,-2.4048600593703105e-05
SAT1,-2.4386805409456827e-05
PIM2,-2.554493515558581e-05
PKM,-2.570860343908019e-05
CD69,-2.8149867813999553e-05
TNFRSF18,-2.9213925877083132e-05
DUSP2,-3.0130716777671286e-05
GBP2,-3.2413531398098704e-05
MS4A6B,-3.593653921696196e-05
S100A6,-3.6139156303530896e-05
LUM,-3.7460718219575336e-05
CDKN1A,-3.985597516976781e-05
TNFRSF4,-4.507059618733175e-05
NFKBIA,-4.726707249409976e-05
CD200,-5.004983546481169e-05
DDT,-5.1188000554754625e-05
TPI1,-6.443841053270353e-05
CD53,-6.878941075522612e-05
IL22,-6.883877726496517e-05
MIF,-0.00010981301298610015
ID3,-0.00011113523409366433
IL2,-0.0007114327786913071
