,row_C5_data
CYP11A1,-8.945961754210703e-06
PARK2,-9.020874807724753e-06
CHPT1,-9.051637819120936e-06
RPS25,-9.09111569270582e-06
RPS3A1,-9.120295583201437e-06
CDC20,-9.156017737688771e-06
SOCS3,-9.299731027514008e-06
RPS10,-9.523638825202478e-06
RPS8,-9.93064834415398e-06
RPL31,-1.0092093329247784e-05
DDX39,-1.029864445804978e-05
FDPS,-1.0421617929181464e-05
CNDP2,-1.0600235941273304e-05
PHGDH,-1.0658434497492753e-05
ASS1,-1.1124262579621794e-05
RPS4X,-1.1253734479812984e-05
IL22,-1.1285326110619087e-05
AURKA,-1.1354265770057966e-05
PTMA,-1.1566365592677623e-05
RPL36,-1.1707315484207756e-05
RPLP2,-1.2063803273108331e-05
SERPINB1A,-1.207085327511139e-05
H2AFZ,-1.2277826471471648e-05
SOCS2,-1.2506314966875167e-05
RPL38,-1.278575289284088e-05
GNB2L1,-1.286705769345991e-05
RPS19,-1.3147206024388387e-05
PDPN,-1.3301790107081415e-05
CCL20,-1.3315663406925254e-05
RPL36AL,-1.351684141528655e-05
RPL14,-1.3728678341978944e-05
UBE2C,-1.4268802339900417e-05
FOXP3,-1.4380167115611396e-05
RPL5,-1.442857929318561e-05
RPL35,-1.4542158175722829e-05
IMPDH2,-1.462010404935872e-05
TUBB5,-1.4818868249742603e-05
KPNA2,-1.5347058484343142e-05
OLFM2,-1.5595966813508737e-05
CTLA2B,-1.5692608350165458e-05
RPL13,-1.569426364596269e-05
LY6A,-1.5896535199434953e-05
IL2RB,-1.667974326420857e-05
RPS17,-1.675495982978413e-05
TGM2,-1.6780894460715102e-05
RPL26,-1.680874832446158e-05
TUBB4B,-1.7030050113776306e-05
RPL37,-1.7075509294538463e-05
CORO1A,-1.7446935737440287e-05
SGK1,-1.7766305785888346e-05
HSP90AB1,-1.8133389416467182e-05
LTB,-1.9522022623726216e-05
RPL17,-1.9908249909383945e-05
RPL28,-2.0260869852536625e-05
RPS13,-2.036770673363657e-05
RPS7,-2.0466625532035163e-05
RPL10,-2.0630971449618526e-05
RPS20,-2.0802060164663177e-05
FAU,-2.0873616291439595e-05
LGALS1,-2.1222969810906692e-05
RPL27,-2.1874540842862643e-05
TNFRSF13B,-2.2142246938531505e-05
RPS21,-2.2861738388584092e-05
MT1,-2.3316753862412306e-05
IRF8,-2.399340488886127e-05
RPL8,-2.4582015316605124e-05
CAPG,-2.510952636168153e-05
IFI47,-2.5628039268960922e-05
RPL11,-2.579059523400676e-05
RPS16,-2.772780898206256e-05
NACA,-2.8371225424070188e-05
RPL18,-2.8773672928345293e-05
RPL34,-2.8946322664079825e-05
VIM,-2.898682142631037e-05
RPL30,-2.960837721061892e-05
CTSW,-2.979907188289088e-05
RPL6,-3.271020360731778e-05
RPL3,-3.273627330334058e-05
RPL10A,-3.34539514157864e-05
RPL18A,-3.381884423909722e-05
IL17A,-3.594982231118667e-05
RPS15,-3.656176758013132e-05
TUBA1B,-3.74633687921631e-05
UBA52,-3.8592385295922336e-05
RPS23,-4.0043424671892943e-05
RPL35A,-4.084284987846968e-05
CTLA2A,-4.0860129348696954e-05
RPS14,-4.2621931909364466e-05
IGFBP4,-5.5527539281104905e-05
RPL22L1,-5.744521080914593e-05
HSPA8,-6.930557350741693e-05
AQP3,-7.540000923135474e-05
RPS11,-7.586660471867423e-05
RPS18,-7.611883515652371e-05
TIMP1,-8.07471658770712e-05
LTA,-0.00012731617518645948
IL9,-0.000318993029376273
EEF1A1,-0.0003464884573755379
IL17F,-0.0006128833134639287
