,row_F3_data
TNFSF11,-5.877497829442852e-06
TRAT1,-6.031889738075586e-06
HNRNPDL,-6.107077467301733e-06
B3GNT2,-6.251941489254259e-06
TNFSF4,-6.32269198454576e-06
CD27,-6.350012132908386e-06
RPLP0,-6.532236969325413e-06
NPC2,-6.533249751948296e-06
9030617O03RIK,-6.548700531068811e-06
TESPA1,-6.609639110876857e-06
LCP2,-6.620847657039708e-06
PSMA6,-6.709885907437402e-06
BCL2A1B,-6.7486998725766954e-06
HSD17B10,-6.836768497587527e-06
PGK1,-6.854149767172011e-06
PRELID2,-6.894744299582864e-06
BSG,-6.9066613769232845e-06
1500012F01RIK,-6.935253150524012e-06
CXCR3,-6.940420724764918e-06
ITK,-7.0518564640308665e-06
GSTT2,-7.110272886746418e-06
ARHGEF3,-7.119455114949987e-06
NFKBIZ,-7.140418703200887e-06
BLOC1S2,-7.182433118168297e-06
FAS,-7.319499401868291e-06
DGKA,-7.379405221268057e-06
CTH,-7.456988719831931e-06
LAG3,-7.630895556458335e-06
INHBA,-7.646748368422671e-06
PTPN6,-7.884226138047484e-06
GPR183,-8.062613798952107e-06
GIMAP1,-8.143266634985676e-06
TPI1,-8.155636513175262e-06
PSMB8,-8.157981626695487e-06
RPL41,-8.180674717163941e-06
CD3G,-8.192785738527064e-06
IL12RB2,-8.197774793536346e-06
GIMAP3,-8.333497668788649e-06
DUSP6,-8.388331798466782e-06
CRTAM,-8.855431396948394e-06
LSP1,-8.917592951779175e-06
STAT4,-8.96769494918801e-06
TNFRSF9,-9.126127576020966e-06
PDZK1IP1,-9.239375205829623e-06
GZMB,-9.306332127113745e-06
SLAMF1,-9.394885112240208e-06
IL3,-9.475613906310519e-06
NR4A1,-9.530344428358869e-06
CCL4,-9.628561788179083e-06
GIMAP4,-9.800402375930295e-06
SELL,-1.0003781505570343e-05
LAD1,-1.0046256416604799e-05
CD9,-1.014429861175382e-05
CRABP2,-1.0231676265063355e-05
GRAP,-1.0710515040045705e-05
ENO1,-1.154707079697244e-05
NOP10,-1.1867379896161743e-05
ICOS,-1.2081948382626844e-05
ITM2A,-1.2293942930686717e-05
SEPW1,-1.252325315490375e-05
GAPDH,-1.2839336530551666e-05
RGCC,-1.2871292267772673e-05
SERPINB9,-1.2898861021911874e-05
GIMAP6,-1.2916781759710812e-05
CD81,-1.2940499203464083e-05
MS4A4B,-1.2941741399248506e-05
PHLDA3,-1.3076821158707822e-05
GIMAP5,-1.3239652477856808e-05
SRGN,-1.3305892209275735e-05
IFITM3,-1.3672660276710955e-05
GLIPR1,-1.3911832305116659e-05
PSRC1,-1.3973421020728943e-05
NRN1,-1.4089280770999803e-05
CD52,-1.4720534994953688e-05
RPS27L,-1.4837937472594759e-05
PIM2,-1.6146733937938508e-05
CD3D,-1.61877364989346e-05
IFITM2,-1.6449765902757426e-05
SLFN2,-1.6735052865033418e-05
CCL3,-1.729149584765247e-05
TNFSF8,-1.7569350316832045e-05
GPR171,-1.7870211952998193e-05
PKM,-1.8640015508148718e-05
IL2RG,-1.8692803157854435e-05
BAX,-1.8698356422107665e-05
SERPINB6B,-1.8836569894719483e-05
CD6,-1.8900257230643563e-05
LRMP,-1.9041328880064705e-05
CCNG1,-1.935278658462245e-05
SLAMF6,-1.9854031190305103e-05
SAT1,-1.9916215320017496e-05
IFI27L2A,-2.0739918877436477e-05
CD40LG,-2.0984957699129406e-05
DUSP2,-2.110972366600151e-05
BTLA,-2.2134889700351148e-05
RILPL2,-2.2205709394822488e-05
DNAJC15,-2.2951132682475166e-05
CD69,-2.2953104987320712e-05
CD5,-2.3201256736948606e-05
SERPINE2,-2.3691770157228197e-05
PTPRCAP,-2.4160887906898314e-05
TIGIT,-2.54346958414088e-05
BATF,-2.580907729369782e-05
SHISA5,-2.7292589534859436e-05
CST7,-2.9230879530408543e-05
S100A6,-3.200896743873653e-05
TNFRSF18,-3.2736667222718136e-05
NFKBIA,-3.6957224680245524e-05
LUM,-3.7717620597392376e-05
GBP2,-3.8799649367870584e-05
MS4A6B,-4.039278939383226e-05
IL22,-4.13441201346036e-05
CDKN1A,-4.643394755779414e-05
DDT,-5.1199853248694175e-05
TNFRSF4,-5.536147767691574e-05
CD200,-5.764080469714785e-05
LY6A,-7.998435712588447e-05
CD53,-8.022816962982969e-05
MIF,-8.341647960928409e-05
ID3,-0.0001431174612210945
IL2,-0.0006471272913506191
