,row_D4_data
RPS15,-2.5661346526006332e-05
CTSW,-2.5763690651719467e-05
RPS16,-2.7158400826712722e-05
LTB,-2.824222734525212e-05
CAPG,-2.8327212955273507e-05
ACTB,-3.018305492370673e-05
RPS23,-3.048750323546268e-05
RPL17,-3.0915009905948875e-05
RPL18A,-3.228179063655533e-05
RPL30,-3.3407944169288814e-05
RPS14,-3.5704863820200654e-05
IL17A,-3.5734687679956694e-05
CTLA2A,-4.61575453342548e-05
RPL22L1,-4.7965877899182866e-05
HSPA8,-4.922313042230754e-05
RPS11,-6.118856585465008e-05
IGFBP4,-6.447019097443967e-05
TIMP1,-6.806225691566263e-05
RPS18,-6.967085843447452e-05
AQP3,-7.496471513231344e-05
LTA,-0.00012970910161643606
IL9,-0.00032132801250032197
EEF1A1,-0.000328109490083597
IL17F,-0.0007349522388569519
