,row_E2_data
BAX,-1.5141776156897836e-05
SLAMF6,-1.532402345528212e-05
CD9,-1.5414121459888413e-05
GIMAP5,-1.584196131690532e-05
NRN1,-1.6037109192062228e-05
PGAM1,-1.6056174638386363e-05
ITM2A,-1.6137490847118882e-05
TNFSF8,-1.6376246364935695e-05
DUSP2,-1.651637761798279e-05
SERPINB6B,-1.6706567203999083e-05
SH2D1A,-1.6848486487242338e-05
IFITM3,-1.6861826831033792e-05
GLIPR1,-1.692488931248225e-05
CD5,-1.8820896245583715e-05
IFITM2,-1.9067481810047512e-05
PSMA6,-1.945771459520476e-05
IL2RG,-2.066167238235033e-05
ACTG1,-2.1295024516300318e-05
CD40LG,-2.138393968372863e-05
GPR171,-2.2630721084137406e-05
DNAJC15,-2.2822604910515686e-05
SERPINE2,-2.3633115343220823e-05
TIGIT,-2.3952384783882034e-05
RPS27L,-2.4193242088403865e-05
PGK1,-2.4567232185355114e-05
ALDOA,-2.4760398561485356e-05
SAT1,-2.5198982530437908e-05
HSPD1,-2.53908376240251e-05
CD69,-2.553465422514366e-05
BTLA,-2.555367460043046e-05
TPI1,-2.5755728297224367e-05
CCNG1,-2.593777791827137e-05
HNRNPA1,-2.6125916500486016e-05
BATF,-2.6635035309661192e-05
PKM,-2.6867879535582764e-05
LDHA,-2.8663056827617976e-05
GBP2,-2.8765285392549443e-05
PIM2,-2.8982820104614174e-05
RILPL2,-3.0076942801989583e-05
CST7,-3.0871068978297246e-05
SRGN,-3.1277416517431445e-05
MS4A6B,-3.248700773264992e-05
TNFRSF18,-3.347660703531018e-05
NPM1,-3.371848953747297e-05
S100A6,-3.574866826995607e-05
ENO1,-3.757070140412988e-05
LUM,-3.7717620597392376e-05
CDKN1A,-4.347999192123518e-05
DDT,-4.691161890847839e-05
LY6A,-5.1060322006006185e-05
NFKBIA,-5.36764768537469e-05
IL22,-6.755170617121221e-05
CD53,-7.24149930324666e-05
CD200,-8.694593410790581e-05
TNFRSF4,-9.049052963791437e-05
MIF,-9.588597671756016e-05
ID3,-0.0001445205137666615
IL2,-0.0008391125701831177
