,row_B7_data
RPS2,-1.3113630067298988e-05
PDPN,-1.3301790107081415e-05
TRIM59,-1.3314601159312883e-05
RPS29,-1.3607793731914295e-05
FOXP3,-1.4380167115611396e-05
SGK1,-1.4428175785859527e-05
CDKN1A,-1.4802729079535668e-05
OLFM2,-1.5220819426975651e-05
RPL23A,-1.5821281832538518e-05
CCL20,-1.588886645697649e-05
TNFRSF13B,-1.6045870103218577e-05
EEF1A1,-1.6245337680666867e-05
CTLA2B,-1.658038520071085e-05
CRIP1,-1.6715278432338632e-05
RGS1,-1.6961496134066734e-05
RPL39,-1.751860425778555e-05
CNDP2,-1.9277543455609557e-05
RPS4X,-1.939378085130054e-05
CCR7,-1.9397951914556786e-05
UBB,-2.0482786612094795e-05
ASS1,-2.1333784608285115e-05
IL17F,-2.217021101823537e-05
IL2,-2.401552125022482e-05
RPL41,-2.4319585204948704e-05
CTSW,-2.9394724459670453e-05
TMSB4X,-3.472169905164861e-05
VIM,-3.8415129749400416e-05
IGFBP4,-4.267679732680092e-05
CTLA2A,-4.3956527551369015e-05
CAPG,-4.8446089115212514e-05
LTA,-6.563555206728783e-05
AQP3,-7.650098340869607e-05
IL9,-0.00022375907195660183
