,row_F4_data
LAD1,-1.1392061693028255e-05
BCL2A1B,-1.1483326334255325e-05
GSTT2,-1.1674440829251422e-05
MS4A4B,-1.1920060721299572e-05
SEPW1,-1.216497501704185e-05
CTH,-1.2182379525274538e-05
CD3D,-1.2280274685966299e-05
CCL3,-1.2430452228095965e-05
PHLDA3,-1.3002797530906694e-05
SERPINB9,-1.3154611979169655e-05
GIMAP6,-1.3419428213294784e-05
RPL13A,-1.3668550331543105e-05
PSRC1,-1.3732016645049803e-05
PIM2,-1.3755112405161283e-05
RPS27L,-1.4144677649978129e-05
LSP1,-1.453320567815728e-05
CD82,-1.4925073007927835e-05
GRAP,-1.4992739298828253e-05
IFITM3,-1.505671673635912e-05
CD6,-1.5096370304800149e-05
GIMAP5,-1.5138899768011416e-05
PGK1,-1.5404580404603343e-05
IFI27L2A,-1.5520502385308925e-05
GLIPR1,-1.568107628561327e-05
SRGN,-1.580377573958601e-05
NRN1,-1.5813965293456952e-05
GAPDH,-1.6282452323951763e-05
BAX,-1.6418715029803688e-05
ALDOA,-1.6549966123288908e-05
ITM2A,-1.672595974259011e-05
CD9,-1.6852343357579352e-05
CD81,-1.685823293724092e-05
IFITM2,-1.759070936487266e-05
IL2RG,-1.7765022771274046e-05
SERPINB6B,-1.7776729954084974e-05
TNFSF8,-1.781561207130459e-05
SLAMF6,-1.8838683938017035e-05
CCNG1,-1.9576874112497022e-05
SAT1,-2.0441446725192546e-05
CD69,-2.1045116497058425e-05
BTLA,-2.195830992110379e-05
SLFN2,-2.2213798282066154e-05
DNAJC15,-2.2312820230762196e-05
PTPRCAP,-2.2876266698366722e-05
CD40LG,-2.3587288909787407e-05
SERPINE2,-2.3796640654523857e-05
CD5,-2.413911259992131e-05
DUSP2,-2.4211960424731927e-05
ENO1,-2.4431290863323604e-05
GPR171,-2.477507674092297e-05
TIGIT,-2.547360417860304e-05
TPI1,-2.7317992687780212e-05
SHISA5,-2.7850336695303344e-05
RILPL2,-2.826084085043989e-05
BATF,-3.040315252767391e-05
TNFRSF18,-3.043935279131907e-05
PKM,-3.07915625652914e-05
CST7,-3.2070172175991464e-05
GBP2,-3.26255530951641e-05
MS4A6B,-3.521574887322235e-05
LUM,-3.7717620597392376e-05
S100A6,-3.88829473333015e-05
DDT,-5.134813598232306e-05
NFKBIA,-5.345213935559578e-05
IL22,-5.610563557663492e-05
CDKN1A,-5.665312059749528e-05
LY6A,-6.218926342994573e-05
CD200,-6.731215519439593e-05
TNFRSF4,-7.087734144893635e-05
CD53,-7.882799548229494e-05
MIF,-0.00011658303335604082
ID3,-0.00015253853635372876
IL2,-0.0007638460858371832
