,row_C3_data
RPL35A,-5.130486158951182e-05
RPS23,-5.360203012437194e-05
RPS14,-6.463152932078181e-05
RPL22L1,-6.805005701318167e-05
AQP3,-7.404658325813834e-05
HSPA8,-7.507214176277635e-05
IGFBP4,-7.672290483280324e-05
RPS11,-7.95533164293312e-05
RPS18,-9.030387166315107e-05
TIMP1,-0.00010727027850376625
LTA,-0.00012839871037076395
IL9,-0.0003170941216357075
EEF1A1,-0.00036933248112053577
IL17F,-0.0006403415379647121
