,row_D3_data
BHLHE40,9.30842101839489e-06
IL3,9.240041634322163e-06
FAS,9.195417686067875e-06
PDCD1,9.131734272104353e-06
UQCR10,8.804660911725947e-06
MS4A6B,8.71045910356013e-06
ANP32B,8.436817068862667e-06
TNFAIP8,8.388703451327813e-06
DNAJC15,8.249009117595115e-06
CCL3,8.236387739416455e-06
COX6C,8.222297332507889e-06
GRAP,8.201487401516948e-06
NOP10,8.117021577506997e-06
S100A11,8.111107869583461e-06
CD53,8.105768608299759e-06
TM2D3,8.027137696137417e-06
1110008F13RIK,7.738529800247201e-06
GLRX3,7.5143269635058335e-06
B3GNT2,7.472131636206529e-06
NAA20,7.38178470432111e-06
THYN1,7.3085250215304065e-06
LDHB,7.305550379871776e-06
TMEM160,7.110816018302493e-06
PERP,7.057344708224393e-06
ATG3,6.976088212911106e-06
PLAC8,-7.018206087353408e-06
PLP2,-7.284612315083728e-06
RPL34,-7.357580366917885e-06
CCNA2,-7.4228624811029665e-06
CALM2,-7.8920240953804e-06
DDX39,-7.91164611583389e-06
IL1RN,-7.922376493896783e-06
ENO1,-7.995144763019911e-06
CFL1,-8.0771369214488e-06
EIF5A,-8.228933393729295e-06
EGLN3,-8.348263739402974e-06
NT5E,-8.516785719805998e-06
RPL14,-8.574702573658447e-06
GATM,-8.582408694853974e-06
RACGAP1,-8.648324964893854e-06
COX4I1,-8.691009939670088e-06
RPL26,-8.709740412435221e-06
SOCS3,-8.799842192034046e-06
PGAM1,-8.823020597544863e-06
MCM6,-9.089809965502818e-06
CCT5,-9.11384695277402e-06
PLK1,-9.259727371970029e-06
ME2,-9.27141346018657e-06
SHMT2,-9.430639152575968e-06
RPL36AL,-9.453571474802382e-06
GNB2L1,-9.468661379650846e-06
CYP11A1,-9.574893046266632e-06
LPXN,-9.613536037982554e-06
HMGB2,-9.885281664371911e-06
RPS21,-9.888582265655773e-06
FAU,-9.969555107653799e-06
CHPT1,-1.019360167417713e-05
LDHA,-1.0288390999177243e-05
PHGDH,-1.0356241968939636e-05
FDPS,-1.055914624535503e-05
HMGB1,-1.0939985201954894e-05
BIRC5,-1.1145002881767405e-05
HIST1H2AP,-1.1236626187249377e-05
CNDP2,-1.1252705357021069e-05
HIST1H2AO,-1.1788836846690783e-05
CDC20,-1.1885707032978841e-05
RPS23,-1.1982646149257074e-05
UCP2,-1.2002095089579377e-05
SERPINB1A,-1.2506533323707002e-05
IL17A,-1.2713382434561655e-05
RPL18A,-1.3030834986688057e-05
PDPN,-1.3301790107081415e-05
CRIP1,-1.3374130853282512e-05
UBE2C,-1.3512586499000043e-05
CCNB1,-1.3692825649850223e-05
RPL18,-1.3773296982062659e-05
PTMA,-1.4076438464990138e-05
SOCS2,-1.4090579436005472e-05
FOXP3,-1.422212657041839e-05
RPS7,-1.4296863563321871e-05
RPL27,-1.4947552102606326e-05
ASS1,-1.5090328196950278e-05
OLFM2,-1.5303672723559556e-05
RPL11,-1.5657128576414736e-05
IL2RB,-1.6035515254851757e-05
CTLA2B,-1.62836439766265e-05
TUBB4B,-1.635520052226374e-05
HSP90AB1,-1.6373509519685884e-05
AURKA,-1.6922369713367944e-05
CCL20,-1.7096429586711415e-05
RPS15,-1.7596124432535225e-05
SGK1,-1.7870411157575536e-05
RPS16,-1.834626714400145e-05
IRF8,-1.8666614338393217e-05
TGM2,-1.907388016256755e-05
ALDOA,-1.919389065189542e-05
KPNA2,-1.934678092357205e-05
IMPDH2,-1.9564437384876287e-05
NACA,-1.961122705278357e-05
TUBB5,-1.9928612709375752e-05
RPL35A,-2.0507564516855013e-05
CAPG,-2.0598443713478322e-05
IFI47,-2.0688147993444406e-05
CORO1A,-2.1207243303716396e-05
LY6A,-2.1500712300996446e-05
VIM,-2.1779490031471627e-05
RPL17,-2.3012765993143686e-05
RPL8,-2.4154191151180387e-05
TNFRSF13B,-2.446825202096547e-05
RPL10A,-2.4999753595778386e-05
UBA52,-2.6103724228527576e-05
MT1,-2.9305971730655256e-05
CTSW,-2.936696264718937e-05
RPL6,-2.9531415896318265e-05
RPS14,-3.087528849297569e-05
ACTB,-3.175096648298494e-05
RPL3,-3.4190072063046255e-05
TUBA1B,-3.68666345970279e-05
LTB,-3.769050492035168e-05
RPL22L1,-4.2614764162560726e-05
CTLA2A,-4.738189518615285e-05
RPS18,-4.839581804526484e-05
LGALS1,-4.96370832655009e-05
RPS11,-5.3551001124658515e-05
IGFBP4,-6.564996658210415e-05
HSPA8,-7.467846244218552e-05
AQP3,-7.598458322933864e-05
TIMP1,-0.00012395327340253273
LTA,-0.00012946428398621622
EEF1A1,-0.00028099499261315824
IL9,-0.00032144930309069584
IL17F,-0.0006877571366108708
