,IL17F,IL2,IL9,LTA,EEF1A1,TIMP1,RPS2,AQP3,ID3,CAPG,VIM,IGFBP4,MIF,TNFRSF4,CTLA2A,CDKN1A,IL22,LGALS1,RPS27L,CTSW,CD200,CD53,NFKBIA,TNFRSF13B,IL17A
B3,-1.2144390829036192e-05,-7.186402502371323e-05,-0.0002793107816671657,-0.0001131265723345946,-1.9641809602558588e-05,-2.933647056133965e-07,4.9690925774558325e-06,-7.53310061902914e-05,-1.0703666178144762e-05,-6.239052163422295e-05,-2.7889290504339927e-05,-5.4832808098204746e-05,8.019810711442645e-06,-7.326414293107332e-06,-4.259178461319275e-05,-1.2396990508217162e-05,2.662753831288073e-05,-1.1110545236575744e-05,2.3459930885020834e-07,-3.0746220774929425e-05,-3.394347410163988e-08,-1.469980535379595e-06,6.329107250453927e-07,-2.62520296414398e-05,-4.607166935048187e-06
B4,-1.892187682211508e-05,-5.980499339675868e-05,-0.00026754177516781963,-9.886698803097557e-05,-2.988729547639523e-07,2.4581498224307975e-06,3.4670966390277526e-06,-7.722016715267101e-05,-1.1238850004729115e-05,-5.838722801990608e-05,-2.417216079780683e-05,-6.845804926987674e-05,4.318310884887164e-06,-7.954288207029611e-06,-4.530578228286626e-05,-3.0802018013254483e-05,3.657078060778945e-05,-6.908268058634191e-06,-3.0552781068564225e-06,-3.193194643626332e-05,1.8191497324680192e-06,-1.6243497945011655e-08,-1.3366717844693566e-06,-2.5523880869319072e-05,-5.5230115384922935e-06
B5,2.8086695921715086e-06,-5.124808008114085e-05,-0.00026744296816855857,-0.00011918726853447853,-1.1410243275760811e-07,1.5467674274858766e-06,-7.425338936506239e-08,-7.624038003854464e-05,-4.663614660743269e-06,-6.584355013936272e-05,-2.146509711568924e-05,-3.985485329764026e-05,1.4479553241903808e-05,-5.5833144050867066e-06,-4.004447683825996e-05,-1.5473596717776915e-05,5.166276872583731e-05,-1.2676379889883757e-05,-7.795526966633154e-07,-2.940626408080678e-05,1.9612629346351178e-06,-2.563484732495456e-08,1.5775330647810798e-07,-2.5739293626660287e-05,-8.488864824278519e-08
B6,-9.513665521960503e-05,-4.505266178619552e-05,-0.00024252476279501203,-7.790519316737736e-05,-1.8768615254789723e-05,-1.1006835632106543e-05,-2.6939515740274944e-05,-7.52906596857515e-05,3.4630404133733354e-07,-4.889312573806904e-05,-5.616083085514058e-05,-2.4903614474536536e-05,9.222535808991008e-06,-8.467569725787257e-06,-3.880946672480945e-05,-1.417554376023383e-05,8.056976054189684e-06,-7.873959843424384e-06,-6.9628150028515346e-09,-2.9336817555704144e-05,4.517023862388679e-06,4.868407784251932e-08,2.2218224052578736e-08,-1.4952675608535701e-05,-1.716437518065741e-06
B7,-2.217021101823537e-05,-2.401552125022482e-05,-0.00022375907195660183,-6.563555206728783e-05,-1.6245337680666867e-05,-9.159693574401496e-07,-1.3113630067298988e-05,-7.650098340869607e-05,-2.284776187499379e-07,-4.8446089115212514e-05,-3.8415129749400416e-05,-4.267679732680092e-05,3.4604351383610776e-06,-5.123764913297475e-06,-4.3956527551369015e-05,-1.4802729079535668e-05,3.272392514905147e-05,-9.65888830276277e-06,-3.5056886046741306e-06,-2.9394724459670453e-05,5.467246867373569e-06,-1.2125855509732082e-08,2.2163878254078767e-06,-1.6045870103218577e-05,-9.616944266780341e-07
B8,-3.880825235787129e-05,-6.549436106941732e-06,-0.0002673658107381402,-7.935619483690304e-05,-1.9102632166913443e-05,-3.802142063873315e-06,-2.946508947509166e-08,-7.636765496432333e-05,5.260558406003776e-08,-5.4099560125797874e-05,-5.026723952402816e-05,-3.826119765235323e-05,1.2758508712898794e-06,-6.3856730850256975e-06,-3.985184337283256e-05,-8.750714361308516e-06,2.312920345699481e-05,-2.3415420253843137e-05,-1.8798762097786325e-07,-3.141482406901013e-05,6.375984695276225e-06,-1.0885920413778998e-07,3.0450898765489138e-06,-1.3565747881636483e-05,-4.822461679171551e-08
C1,-0.0005922641766250628,0.0008181322772415024,-0.0003087614018670749,-0.00010998856913292595,-0.000301021398274062,-8.876595852957557e-05,-2.4044156096358796e-05,-7.59680051059929e-05,5.825686557949861e-05,-2.4298902279799503e-05,-1.7969375174722754e-05,-5.4531563104007837e-05,4.3376666169646274e-07,5.8782301333667255e-05,-4.367652127385773e-05,8.560837771236903e-05,-8.08607402714499e-06,-2.1290473453967242e-05,6.801231690195997e-05,-3.071204071988813e-05,3.417937566208278e-05,6.940348227758279e-06,6.306781652235487e-05,-1.966295463808675e-05,-2.272225697454417e-05
C2,-0.0006671460663763345,0.0005393187023342516,-0.0003194841267196807,-0.00011252741888688273,-0.0003861840536643268,-9.141024439471372e-05,7.560140945484808e-05,-7.641301529465232e-05,4.086182939786118e-05,-1.3352685062245887e-05,-9.595994683647032e-06,-5.113838388033443e-05,5.409189440117986e-08,5.9080663806411704e-05,-4.3288196510314764e-05,7.154817211332514e-05,-7.04112738224318e-07,-1.8479451763192065e-05,6.950884948858947e-05,-2.9150978647549694e-05,1.7222019682952634e-05,7.0972947288033575e-06,7.065159880495476e-05,-2.0787150910142367e-05,-1.088797415365366e-05
C3,-0.0006403415379647121,0.0008338496380181802,-0.0003170941216357075,-0.00012839871037076395,-0.00036933248112053577,-0.00010727027850376625,9.670327596615787e-05,-7.404658325813834e-05,4.628133299468772e-05,-1.9475276793443803e-05,-1.4189395636921678e-05,-7.672290483280324e-05,5.735196063733457e-08,7.317412140436951e-05,-4.819485031500994e-05,8.705938110280178e-05,-1.1079669045800122e-06,-2.476951501693434e-05,8.532150380748067e-05,-2.9044556461570526e-05,1.7922343240601207e-05,6.371079217435241e-06,5.1927708010145824e-05,-2.0662902384999203e-05,-3.0431174901081144e-05
C4,-0.0005453916545631102,0.0007371940542728556,-0.0003113306838267412,-0.00012370335071908072,-0.00042966297964654046,-8.741525022188807e-05,0.00011226418213449449,-7.55457100382698e-05,6.383682387223124e-05,-2.452653420571018e-05,-1.7231140540242528e-05,-6.694626730552024e-05,7.236769331795003e-07,8.408632924893588e-05,-4.559348108977396e-05,7.098429257302695e-05,-3.9120208350766136e-07,-2.275447071061108e-05,0.00010247910718664535,-2.966373356463632e-05,4.111043226201491e-05,5.490229387525369e-06,7.429796363639114e-05,-2.2192222774128958e-05,-2.8571765467648497e-05
