Corpus 1,Corpus 2,value
B5,B2,0.02896909550278616
B6,B2,0.06636344795060256
B7,B2,0.050793619758068405
B8,B2,0.05557097072266307
C1,B2,0.41576823440948485
C2,B2,0.3810937590543183
C3,B2,0.441727642898183
C4,B2,0.41276392124245553
C5,B2,0.39354121946491083
C6,B2,0.31534125367827437
C7,B2,0.33616868157697194
C8,B2,0.37457763090460383
D1,B2,0.39219406336684776
D2,B2,0.44616566336739355
D3,B2,0.43399272424117696
D4,B2,0.3650978199626511
D5,B2,0.37545328543240675
D6,B2,0.3970351592605018
D7,B2,0.3776388453850233
D8,B2,0.3184652949292485
E1,B2,0.4116834306327277
E2,B2,0.4012131621833044
E3,B2,0.34809302529819813
E4,B2,0.3984817221080271
E7,B2,0.3654040559470646
F1,B2,0.5908875194445515
F2,B2,0.6064130018198468
F3,B2,0.6355410600548884
F4,B2,0.5340119061850067
F5,B2,0.5447844276405713
F6,B2,0.42738891006988333
F7,B2,0.4199713974358378
F8,B2,0.48596022140393064
B3,B3,0.0
B4,B3,0.03142188495621596
B5,B3,0.03101963226891174
B6,B3,0.05583989874228615
B7,B3,0.05377607636272757
B8,B3,0.04962795235130416
C1,B3,0.4177656990039252
C2,B3,0.3791773842043159
C3,B3,0.4428829986052138
C4,B3,0.41406550564253064
C5,B3,0.39338602793276306
C6,B3,0.30339905968855463
C7,B3,0.32420744913151267
C8,B3,0.3636010502285856
D1,B3,0.39322090374195473
D2,B3,0.44227425980150775
D3,B3,0.4340502948275406
D4,B3,0.3612147939805503
D5,B3,0.37262546257233187
D6,B3,0.3855227246510408
D7,B3,0.3660946997518216
D8,B3,0.30545356952626224
E1,B3,0.40400254157889015
E2,B3,0.3946103239203928
E3,B3,0.34529228766925907
E4,B3,0.3898365128978783
E7,B3,0.3563734429371177
F1,B3,0.5938081471361876
F2,B3,0.6107233586069333
F3,B3,0.6412537560964872
F4,B3,0.536279119431756
F5,B3,0.5464484036133119
F6,B3,0.4248420713966869
F7,B3,0.4163869644955061
