Company,Company Path,Country,Industry,Earnings,Employees,Marketcap,Net-Assets,Operating-Margin,Pe-Ratio,Ps-Ratio,Revenue,Total-Assets,Total-Debt,Total-Liabilities
Ping An Insurance,https://companiesmarketcap.com/ping-an-insurance,China,Insurance,17020000000,344223,85310000000,1.7386E+11,0.1649,6.7,0.7838,1.1329E+11,1.638E+12,2.1052E+11,1.464E+12
The People's Insurance Company (PICC),https://companiesmarketcap.com/peoples-insurance-company-picc,China,Insurance,2860000000,177852,27530000000,45460000000,0.0669,9.49,0.3306,80560000000,2.1033E+11,5610000000,1.6486E+11
Allianz,https://companiesmarketcap.com/allianz,Germany,Insurance,13050000000,159253,1.0913E+11,70290000000,0.1127,12,1.05,1.0429E+11,1.086E+12,38320000000,1.016E+12
China Pacific Insurance,https://companiesmarketcap.com/china-pacific-insurance,China,Insurance,43810000000,104502,26970000000,34110000000,0.3272,7.77,0.5886,45820000000,3.1567E+11,1730000000,2.8156E+11
Life Insurance Corporation of India (LIC),https://companiesmarketcap.com/life-insurance-corporation-of-india,India,Insurance,4910000000,104036,73550000000,7480000000,0.0572,13.5,0.7469,99330000000,5.9306E+11,160000,5.8557E+11
Elevance Health,https://companiesmarketcap.com/elevance-health,USA,Insurance,8740000000,102300,1.1572E+11,39400000000,0.0562,19.5,0.6815,1.7134E+11,1.0892E+11,25120000000,69520000000
China Life Insurance,https://companiesmarketcap.com/china-life-insurance,China,Insurance,1790000000,102238,84770000000,63020000000,0.0482,13.5,0.7443,1.1786E+11,8.0397E+11,6820000000,7.4095E+11
AXA,https://companiesmarketcap.com/axa,France,Insurance,7360000000,94705,80660000000,53050000000,0.0935,,0.6002,1.3468E+11,6.9074E+11,75460000000,6.3768E+11
Marsh & McLennan Companies,https://companiesmarketcap.com/marsh-and-mclennan-companies,USA,Insurance,5020000000,85000,97750000000,12370000000,0.2035,28.4,4.32,22730000000,48030000000,15430000000,35660000000
Generali,https://companiesmarketcap.com/generali,Italy,Insurance,4540000000,82061,37350000000,31470000000,0.0652,,0.4343,86320000000,5.5558E+11,18040000000,5.2411E+11
Centene,https://companiesmarketcap.com/centene,USA,Insurance,4320000000,74300,37830000000,25950000000,0.0308,16,0.2488,1.5399E+11,84640000000,18870000000,58680000000
Cigna,https://companiesmarketcap.com/cigna,USA,Insurance,6950000000,71300,99230000000,46350000000,0.0518,19.8,0.5131,1.9518E+11,1.5276E+11,30930000000,1.0641E+11
China Taiping Insurance,https://companiesmarketcap.com/china-taiping-insurance,Hong Kong,Insurance,190000000,68386,3020000000,15800000000,0.005,12.5,0.1162,38560000000,1.8153E+11,12010000000,1.6572E+11
Humana,https://companiesmarketcap.com/humana,USA,Insurance,3870000000,67100,37680000000,16310000000,0.0458,13.1,0.3584,1.0637E+11,47060000000,12000000000,30740000000
Dai-ichi Life Holdings,https://companiesmarketcap.com/dai-ichi-life,Japan,Insurance,2870000000,60997,22520000000,21140000000,0.0325,19.2,0.3477,64460000000,4.667E+11,6990000000,4.4555E+11
Zurich Insurance Group,https://companiesmarketcap.com/zurich-insurance-group,Switzerland,Insurance,6220000000,60000,71100000000,26270000000,,,1.1,67330000000,3.6138E+11,15450000000,3.351E+11
