document,element,value,frequency_in_document
1994,Acute_hepatitis,159423,2.82E-05
1994,Alcohol_use_disorders,153859,2.72E-05
1994,Alzheimer_s_disease_and_other_dementias,652176,0.000115161
1994,Cardiovascular_diseases,13026289,0.002300184
1994,Chronic_kidney_disease,665365,0.00011749
1994,Chronic_respiratory_diseases,3297292,0.000582236
1994,Cirrhosis_and_other_chronic_liver_diseases,1089331,0.000192354
1994,Conflict_and_terrorism,566082,1.00E-04
1994,Diabetes_mellitus,751254,0.000132657
1994,Diarrheal_diseases,2740299,0.000483882
1994,Digestive_diseases,1967669,0.000347451
1994,Drowning,443350,7.83E-05
1994,Drug_use_disorders,76717,1.35E-05
1994,Environmental_heat_and_cold_exposure,72305,1.28E-05
1994,Exposure_to_forces_of_nature,12717,2.25E-06
1994,Fire__heat__and_hot_substances,129611,2.29E-05
1994,HIV_AIDS,800169,0.000141294
1994,Interpersonal_violence,441971,7.80E-05
1994,Lower_respiratory_infections,3187285,0.000562811
1994,Malaria,855671,0.000151095
1994,Maternal_disorders,293148,5.18E-05
1994,Meningitis,413799,7.31E-05
1994,Neonatal_disorders,2896505,0.000511465
1994,Neoplasms,6296066,0.00111176
1994,Nutritional_deficiencies,649801,0.000114742
1994,Parkinson_s_disease,164381,2.90E-05
1994,Poisonings,90897,1.61E-05
1994,Protein_energy_malnutrition,564046,9.96E-05
1994,Road_injuries_,1153642,0.00020371
1994,Self_harm,817682,0.000144386
1994,Tuberculosis,1753811,0.000309688
1995,Acute_hepatitis,157173,2.74E-05
1995,Alcohol_use_disorders,156714,2.73E-05
1995,Alzheimer_s_disease_and_other_dementias,674815,0.000117477
1995,Cardiovascular_diseases,13129252,0.002285649
1995,Chronic_kidney_disease,683701,0.000119024
1995,Chronic_respiratory_diseases,3313295,0.000576806
1995,Cirrhosis_and_other_chronic_liver_diseases,1104380,0.00019226
1995,Conflict_and_terrorism,67210,1.17E-05
1995,Diabetes_mellitus,773490,0.000134656
1995,Diarrheal_diseases,2673263,0.000465384
1995,Digestive_diseases,1984263,0.000345437
1995,Drowning,437303,7.61E-05
1995,Drug_use_disorders,79985,1.39E-05
1995,Environmental_heat_and_cold_exposure,72635,1.26E-05
1995,Exposure_to_forces_of_nature,19169,3.34E-06
1995,Fire__heat__and_hot_substances,128523,2.24E-05
1995,HIV_AIDS,938440,0.000163371
1995,Interpersonal_violence,444246,7.73E-05
1995,Lower_respiratory_infections,3148775,0.000548165
1995,Malaria,862626,0.000150173
1995,Maternal_disorders,290551,5.06E-05
1995,Meningitis,409826,7.13E-05
1995,Neonatal_disorders,2873608,0.000500261
1995,Neoplasms,6402881,0.001114666
1995,Nutritional_deficiencies,723095,0.000125882
1995,Parkinson_s_disease,168882,2.94E-05
1995,Poisonings,90353,1.57E-05
1995,Protein_energy_malnutrition,641084,0.000111605
1995,Road_injuries_,1162799,0.00020243
1995,Self_harm,825922,0.000143783
1995,Tuberculosis,1738759,0.000302698
1996,Acute_hepatitis,153406,2.63E-05
1996,Alcohol_use_disorders,156352,2.68E-05
1996,Alzheimer_s_disease_and_other_dementias,696665,0.000119601
1996,Cardiovascular_diseases,13213565,0.002268465
1996,Chronic_kidney_disease,704624,0.000120968
1996,Chronic_respiratory_diseases,3342591,0.000573846
1996,Cirrhosis_and_other_chronic_liver_diseases,1115241,0.000191461
1996,Conflict_and_terrorism,87324,1.50E-05
1996,Diabetes_mellitus,799023,0.000137174
1996,Diarrheal_diseases,2615313,0.000448989
1996,Digestive_diseases,1995513,0.000342584
1996,Drowning,423296,7.27E-05
1996,Drug_use_disorders,81704,1.40E-05
1996,Environmental_heat_and_cold_exposure,67602,1.16E-05
1996,Exposure_to_forces_of_nature,14866,2.55E-06
1996,Fire__heat__and_hot_substances,126804,2.18E-05
1996,HIV_AIDS,1061580,0.000182249
